"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00093243","2005","37.2381","-120.8825","23.8","MERCED 23 WSW, CA US","","","","","        67","R","        33","R","         3","R","","","","","","","","","","","","","  46.6"," ,R,0219, ","","","","","","","","","","","","","","","","","","","","","","","","","    335.8"," ,R","","","","","",""
"USW00093243","2006","37.2381","-120.8825","23.8","MERCED 23 WSW, CA US","    562.8","","     562.8","R","        63","R","        26","R","         1","R","         0","R","        52","R","         0","R","       202","R","        89","R","   -6.5","R,1230, ","  34.5"," ,R,0102, ","   43.8","R,0723, ","-1.0","R,1026","-2.5","R,1110","-4.5","R,1202","","","-0.3","R,0322","-2.9","R,0304","-5.8","R,0221","","","","","    1613.5","5","    1613.5","R","    260.2"," ,R","     15.11","R","     23.97","R","      6.24","R"
"USW00093243","2007","37.2381","-120.8825","23.8","MERCED 23 WSW, CA US","    485.1","","     485.1","R","        26","R","        17","R","         0","R","         0","R","        59","R","         0","R","       233","R","        80","R","  -10.9","R,0115, ","  12.5"," ,R,0922, ","   41.9","R,0705, ","-0.8","R,1122","-3.0","R,1124","-5.7","R,1213","","","-0.1","R,0418","-2.4","R,0329","-4.5","R,0125","-8.8","R,0116","-10.9","R,0115","    1625.3","3","    1625.3","R","    124.7"," ,R","     15.16","R","     24.65","R","      5.66","R"
"USW00093243","2008","37.2381","-120.8825","23.8","MERCED 23 WSW, CA US","    544.5","","     544.5","R","        39","R","        23","R","         1","R","         0","R","        53","R","         0","R","       217","R","       100","R","   -6.1","R,0101, ","  27.9"," ,R,0104, ","   41.4","R,0621, ","-2.8","R,1013","-2.8","R,1013","-5.4","R,1226","","","-3.3","R,0424","-3.3","R,0424","-5.2","R,0118","","","","","    1776.9","9","    1776.9","R","    200.6"," ,R","     15.05","R","     24.39","R","      5.71","R"
"USW00093243","2009","37.2381","-120.8825","23.8","MERCED 23 WSW, CA US","","","","","        47","R","        22","R","         1","R","","","","","","","","","","","","","  64.3"," ,R,1013, ","","","","","","","","","","","","","","","","","","","","","","","","","    240.7"," ,R","","","","","",""
"USW00093243","2010","37.2381","-120.8825","23.8","MERCED 23 WSW, CA US","    446.1","","     446.1","R","        68","R","        41","R","         0","R","         0","R","        14","R","         0","R","       200","R","        77","R","   -5.3","R,1126, ","  19.6"," ,R,1120, ","   40.2","R,0825, ","-1.3","R,1112","-5.2","R,1125","-5.2","R,1125","","","-0.1","R,0511","","","","","","","","","    1824.0","0","    1824.0","R","    348.0"," ,R","     14.85","R","     23.24","R","      6.45","R"
"USW00093243","2011","37.2381","-120.8825","23.8","MERCED 23 WSW, CA US","    470.4","","     470.4","R","        41","R","        22","R","         1","R","         0","R","        47","R","         0","R","       200","R","        85","R","   -7.3","R,1226, ","  31.9"," ,R,0605, ","   40.1","R,0622, ","-0.4","R,1108","-5.0","R,1204","-5.0","R,1204","-7.0","R,1225","-0.4","R,0408","-2.2","R,0227","-5.2","R,0110","","","","","    1771.7","7","    1771.7","R","    252.9"," ,R","     14.45","R","     23.05","R","      5.84","R"
"USW00093243","2012","37.2381","-120.8825","23.8","MERCED 23 WSW, CA US","    581.3","","     581.3","R","        41","R","        23","R","         0","R","         0","R","        52","R","         0","R","       216","R","       104","R","   -8.7","R,0117, ","  17.3"," ,R,1223, ","   40.7","R,0617, ","-1.6","R,1111","-2.4","R,1215","-5.1","R,1220","","","-1.6","R,0407","-3.7","R,0217","-7.1","R,0118","-7.1","R,0118","","","    1703.3","3","    1703.3","R","    186.7"," ,R","     15.60","R","     24.87","R","      6.34","R"
"USW00093243","2013","37.2381","-120.8825","23.8","MERCED 23 WSW, CA US","    567.0","","     567.0","R","        16","R","         9","R","         0","R","         0","R","        70","R","         0","R","       237","R","        91","R","   -8.7","R,1210, ","  16.3"," ,R,0105, ","   41.8","R,0704, ","-0.9","R,1117","-4.4","R,1204","-4.4","R,1204","-7.7","R,1205","-1.5","R,0227","-3.3","R,0222","-5.2","R,0121","","","","","    1525.8","8","    1525.8","R","     74.4"," ,R","     15.35","R","     25.05","R","      5.65","R"
"USW00093243","2014","37.2381","-120.8825","23.8","MERCED 23 WSW, CA US","    675.6","","     675.6","R","        43","R","        23","R","         1","R","         0","R","        30","R","         0","R","       239","R","       114","R","   -5.2","R,0105, ","  51.4"," ,R,1211, ","   41.3","R,0609, ","-0.6","R,1118","-3.0","R,1227","-4.9","R,1231","","","-0.1","R,0314","-2.3","R,0205","-4.9","R,0121","","","","","    1491.5","5","    1491.5","R","    272.0"," ,R","     16.66","R","     26.08","R","      7.24","R"
