"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0010R04S","1981","34.31","-110.75","2328.7","HEBER, AZ US","","","","","        63","T","        63","T","         6","T","","","","","","","","","","","","","","","","","  48.3"," ,T,1128, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    632.0"," ,T","","","","","",""
"USS0010R04S","1983","34.31","-110.75","2328.7","HEBER, AZ US","","","","","        83","T","        83","T","        15","T","","","","","","","","","","","","","","","","","  48.3"," ,T,1001, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1033.3"," ,T","","","","","",""
"USS0010R04S","1984","34.31","-110.75","2328.7","HEBER, AZ US","","","","","        64","T","        64","T","         5","T","","","","","","","        11","T","       143","T","         6","T","","","","","  50.8"," ,T,1227, ","   34.9","T,0705, ","","","","","","","","","","","","","","","","","","","","","","","","","    726.0"," ,T","","","     16.12","T","",""
"USS0010R04S","1985","34.31","-110.75","2328.7","HEBER, AZ US","","","","","        73","T","        73","T","         5","T","","","","","","","        23","T","       143","T","        21","T","","","","","  45.7"," ,T,0911, ","   35.2","T,0708, ","","","","","","","","","","","","","","","","","","","","","","","","","    741.3"," ,T","","","     16.39","T","",""
"USS0010R04S","1986","34.31","-110.75","2328.7","HEBER, AZ US","","","","","        71","T","        71","T","         7","T","","","","","","","","","","","","","","","","","  33.0"," ,T,0316, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    746.5"," ,T","","","","","",""
"USS0010R04S","1987","34.31","-110.75","2328.7","HEBER, AZ US","","","","","        72","T","        72","T","         7","T","","","","","","","        28","T","       146","T","         8","T","","","","","  55.9"," ,T,0224, ","   35.0","T,0713, ","","","","","","","","","","","","","","","","","","","","","","","","","    711.0"," ,T","","","     16.35","T","",""
"USS0010R04S","1988","34.31","-110.75","2328.7","HEBER, AZ US","","","","","        66","T","        66","T","         6","T","","","","","","","        18","T","       164","T","         7","T","","","","","  53.3"," ,T,0117, ","   34.6","T,0622, ","","","","","","","","","","","","","","","","","","","","","","","","","    705.8"," ,T","","","     17.21","T","",""
"USS0010R04S","1989","34.31","-110.75","2328.7","HEBER, AZ US","","","","","        49","T","        49","T","         6","T","","","","","","","","","","","","","","","","","  63.5"," ,T,0817, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    522.8"," ,T","","","","","",""
"USS0010R04S","1990","34.31","-110.75","2328.7","HEBER, AZ US","","","","","       101","T","       101","T","         3","T","","","","","","","","","","","","","","","","","  66.0"," ,T,0720, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    775.6"," ,T","","","","","",""
"USS0010R04S","1991","34.31","-110.75","2328.7","HEBER, AZ US","     68.2","","      68.2","T","        73","T","        73","T","        12","T","","","         0","T","       148","T","        12","T","       120","T","         0","T","  -14.1","T,1202, ","","","  76.2"," ,T,0301, ","   31.9","T,0703, ","-1.5","T,1027","-7.1","T,1028","-7.1","T,1028","-7.1","T,1028","-9.1","T,1123","-0.5","T,0512","-2.6","T,0504","-6.5","T,0428","-7.4","T,0412","-8.9","T,0317","    3451.3","3","    3451.3","T","    804.0"," ,T","      8.60","T","     14.64","T","      2.58","T"
"USS0010R04S","1992","34.31","-110.75","2328.7","HEBER, AZ US","     56.5","","      56.5","T","        80","T","        80","T","        10","T","","","         0","T","       139","T","        21","T","       110","T","         0","T","  -15.6","T,1220, ","","","  71.1"," ,T,1204, ","   29.6","T,0717, ","-1.1","T,1031","-8.0","T,1104","-8.0","T,1104","-8.0","T,1104","-8.9","T,1123","-1.5","T,0420","-2.3","T,0331","-5.1","T,0324","-6.8","T,0218","-11.9","T,0119","    3233.2","2","    3233.2","T","   1063.9"," ,T","      8.64","T","     14.44","T","      2.84","T"
"USS0010R04S","1993","34.31","-110.75","2328.7","HEBER, AZ US","","","","","        76","T","        76","T","         9","T","","","","","","","","","","","","","","","","","  68.6"," ,T,0107, ","","","","","","","","","","","","","","","","","","","","","","","    3393.1","1","    3393.1","T","    982.4"," ,T","","","","","",""
"USS0010R04S","1994","34.31","-110.75","2328.7","HEBER, AZ US","","","","","        92","T","        92","T","         9","T","","","","","","","","","","","","","","","","","  53.3"," ,T,1015, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    849.3"," ,T","","","","","",""
