"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0005K06S","1986","39.92","-105.76","2950.5","ARROW, CO US","      0.4","","       0.4","T","         4","T","       197","T","        47","T","        32","T","         0","T","  -20.1","T,0210, ","   26.1","T,0818, ","-0.5","T,0924","-5.7","T,1011","-5.7","T,1011","-8.6","T,1107","-10.4","T,1108","-3.0","T,0523","-3.0","T,0523","-5.5","T,0427","-8.1","T,0414","-9.1","T,0319","","","","","      4.47","T","      9.46","T","     -0.52","T"
"USS0005K06S","1987","39.92","-105.76","2950.5","ARROW, CO US","      2.1","","       2.1","T","         2","T","       170","T","        69","T","        52","T","         0","T","  -18.0","T,0120, ","   26.1","T,0723, ","-1.6","T,1016","-2.6","T,1108","-7.3","T,1115","-7.3","T,1115","-9.2","T,1116","-0.4","T,0528","-2.6","T,0422","-5.8","T,0421","-7.5","T,0414","-12.0","T,0403","    4990.0","0","    4990.0","T","      4.68","T","      9.96","T","     -0.61","T"
"USS0005K06S","1988","39.92","-105.76","2950.5","ARROW, CO US","      2.1","","       2.1","T","         2","T","       190","T","        90","T","        68","T","         0","T","  -20.3","T,0120, ","   27.4","T,0814, ","-0.4","T,0918","-2.7","T,1105","-5.2","T,1109","-8.0","T,1112","-9.0","T,1115","-0.7","T,0531","-2.2","T,0511","-6.8","T,0503","-6.8","T,0503","-10.8","T,0410","    5102.2","2","    5102.2","T","      4.31","T","      9.61","T","     -1.00","T"
"USS0005K06S","1989","39.92","-105.76","2950.5","ARROW, CO US","     13.4","","      13.4","T","         3","T","       170","T","        55","T","        58","T","         0","T","  -24.2","T,0206, ","   28.8","T,0705, ","-0.2","T,1005","-2.7","T,1017","-4.7","T,1019","-8.8","T,1101","-9.0","T,1102","-0.3","T,0622","-4.2","T,0501","-5.3","T,0428","-13.9","T,0410","-13.9","T,0410","    4781.0","0","    4781.0","T","      5.09","T","     10.50","T","     -0.31","T"
"USS0005K06S","1990","39.92","-105.76","2950.5","ARROW, CO US","     14.7","","      14.7","T","         6","T","       193","T","        61","T","        65","T","         0","T","  -24.6","T,1223, ","   28.5","T,0702, ","-6.2","T,1008","-6.2","T,1008","-6.2","T,1008","-9.9","T,1106","-9.9","T,1106","-2.1","T,0602","-4.9","T,0509","-4.9","T,0509","-8.0","T,0430","-12.9","T,0314","    4748.9","9","    4748.9","T","      5.09","T","     10.48","T","     -0.30","T"
"USS0005K06S","1991","39.92","-105.76","2950.5","ARROW, CO US","      0.0","","       0.0","T","         0","T","       194","T","        70","T","        46","T","         0","T","  -16.6","T,1102,+","   25.8","T,0707, ","-0.2","T,0916","-2.2","T,1025","-10.4","T,1028","-10.4","T,1028","-10.4","T,1028","-0.2","T,0513","-3.1","T,0505","-5.0","T,0501","-8.4","T,0428","-9.7","T,0414","    4978.6","6","    4978.6","T","      4.51","T","      9.61","T","     -0.60","T"
"USS0005K06S","1992","39.92","-105.76","2950.5","ARROW, CO US","      0.0","","       0.0","T","         0","T","       174","T","        63","T","        27","T","         0","T","  -16.8","T,0115, ","   24.2","T,0706, ","-1.1","T,0926","-6.1","T,1007","-6.1","T,1007","-8.6","T,1103","-9.2","T,1111","-0.4","T,0511","-2.7","T,0425","-4.7","T,0421","-7.8","T,0401","-9.3","T,0310","    4893.7","7","    4893.7","T","      4.55","T","      9.57","T","     -0.47","T"
"USS0005K06S","1993","39.92","-105.76","2950.5","ARROW, CO US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    5225.0","0","    5225.0","T","","","","","",""
"USS0005K06S","1994","39.92","-105.76","2950.5","ARROW, CO US","      3.0","","       3.0","T","        15","T","       210","T","        86","T","        76","T","         0","T","  -24.3","T,0131, ","   28.0","T,0626, ","-0.5","T,0914","-5.4","T,0921","-5.4","T,0921","-8.5","T,1030","-9.8","T,1031","-1.3","T,0707","-2.9","T,0504","-4.7","T,0501","-6.9","T,0429","-9.0","T,0427","","","","","      3.14","T","      9.21","T","     -2.93","T"
"USS0005K06S","1995","39.92","-105.76","2950.5","ARROW, CO US","      4.6","","       4.6","T","         3","T","       246","T","        84","T","        55","T","         0","T","  -22.5","T,0101, ","   27.2","T,0729,+","-6.5","T,0921","-6.5","T,0921","-6.5","T,0921","-6.7","T,1005","-9.7","T,1006","0.0","T,0704","-3.2","T,0609","-5.3","T,0513","-8.6","T,0426","-13.6","T,0411","    5781.0","0","    5781.0","T","      2.55","T","      8.22","T","     -3.12","T"
