"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00012895","2000","27.49816","-80.37626","5.7","FORT PIERCE ST LUCIE CO INTERNATIONAL AIRPORT, FL US","       3.1","W","   1705.9","","    1705.9","W","       145","W","        55","W","        14","W","","","","","         0","W","         3","W","         0","W","       334","W","        54","W","","","","","","","   -1.1","W,1231, ","","","","","  98.3"," ,W,1003, ","   36.7","W,0529, ","-1.1","W,1231","","","0.0","W,0127","","","","","","","    982.7"," ,W","","","     22.38","W","     27.74","W","     17.03","W","       220","W","       210","W","      14.3","W","      21.0","W"
"USW00012895","2001","27.49816","-80.37626","5.7","FORT PIERCE ST LUCIE CO INTERNATIONAL AIRPORT, FL US","       2.9","W","   1824.9","","    1824.9","W","       160","W","        79","W","        16","W","","","","","         0","W","         4","W","         0","W","       344","W","        53","W","","","","","","","   -1.7","W,0105,+","","","","","  85.3"," ,W,0628, ","   35.0","W,0612, ","","","","","-1.1","W,0107","","","     306.4","4","     306.4","W","   1505.4"," ,W","","","     22.67","W","     27.89","W","     17.45","W","       250","W","       240","W","      18.3","W","      22.8","W"
"USW00012895","2002","27.49816","-80.37626","5.7","FORT PIERCE ST LUCIE CO INTERNATIONAL AIRPORT, FL US","       2.9","W","   1825.6","","    1825.6","W","       179","W","        77","W","        18","W","","","","","         0","W","         3","W","         0","W","       331","W","        31","W","","","","","","","   -1.1","W,0110,+","","","","","  86.4"," ,W,0210, ","   35.0","W,0502, ","","","","","-1.1","W,0110","","","     172.1","1","     172.1","W","   1246.5"," ,W","","","     22.67","W","     27.75","W","     17.59","W","       140","W","       100","W","      13.0","W","      18.3","W"
"USW00012895","2003","27.49816","-80.37626","5.7","FORT PIERCE ST LUCIE CO INTERNATIONAL AIRPORT, FL US","       2.8","W","   1813.0","","    1813.0","W","       146","W","        79","W","        14","W","","","","","         0","W","         3","W","         0","W","       329","W","        34","W","","","","","","","   -1.1","W,0124, ","","","","","  78.2"," ,W,0621, ","   34.4","W,0512, ","","","","","-1.1","W,0124","","","     338.1","1","     338.1","W","   1281.4"," ,W","","","     22.50","W","     27.73","W","     17.27","W","       100","W","       100","W","      16.1","W","      18.3","W"
"USW00012895","2004","27.49816","-80.37626","5.7","FORT PIERCE ST LUCIE CO INTERNATIONAL AIRPORT, FL US","       3.2","W","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     249.8","8","     249.8","W","","","","","","","","","","","","","","","","","",""
"USW00012895","2005","27.49816","-80.37626","5.7","FORT PIERCE ST LUCIE CO INTERNATIONAL AIRPORT, FL US","       3.1","B","   1795.9","","    1795.9","B","       127","B","        80","B","        20","B","","","","","         0","B","         0","B","         0","B","       325","B","        55","B","","","","","","","    1.1","B,0213, ","","","",""," 138.9"," ,B,1024, ","   36.1","B,0723, ","","","","","","","","","","","","","   1479.8"," ,B","","","     22.62","B","     27.40","B","     17.83","B","       150","B","       310","B","      14.8","B","      19.2","B"
"USW00012895","2006","27.49816","-80.37626","5.7","FORT PIERCE ST LUCIE CO INTERNATIONAL AIRPORT, FL US","       3.1","W","   1848.8","","    1848.8","W","        85","W","        53","W","        10","W","","","","","         0","W","         2","W","         0","W","       341","W","        64","W","       263"," ","        28"," ","        55"," ","   -1.0","W,0214, ","","","","","  61.0"," ,W,0422, ","   35.6","W,0812, ","","","","","-1.0","W,0214","","","     249.4","4","     249.4","W","    839.1"," ,W","","","     22.75","W","     28.07","W","     17.44","W","        80","W","       270","W","      16.1","W","      34.4","W"
"USW00012895","2007","27.49816","-80.37626","5.7","FORT PIERCE ST LUCIE CO INTERNATIONAL AIRPORT, FL US","       3.1","W","   1944.9","","    1944.9","W","       129","W","        72","W","        13","W","","","","","         0","W","         1","W","         0","W","       341","W","        71","W","       232"," ","        25"," ","        69"," ","   -1.0","W,0217, ","","","","","  73.2"," ,W,0629, ","   35.0","W,0901,+","","","","","-1.0","W,0217","","","     198.7","7","     198.7","W","   1078.9"," ,W","","","     23.29","W","     28.19","W","     18.39","W","       250","W","        80","W","      14.8","W","      21.9","W"
"USW00012895","2008","27.49816","-80.37626","5.7","FORT PIERCE ST LUCIE CO INTERNATIONAL AIRPORT, FL US","       3.0","W","   1945.2","","    1945.2","W","       116","W","        66","W","        13","W","","","","","         0","W","         0","W","         0","W","       346","W","        64","W","       230"," ","        27"," ","        79"," ","    1.1","W,0103, ","","","",""," 224.3"," ,W,0819, ","   36.1","W,0521,+","","","","","","","","","     130.7","7","     130.7","W","   1291.0"," ,W","","","     23.09","W","     28.12","W","     18.06","W","       110","W","       200","W","      17.0","W","      23.3","W"
"USW00012895","2009","27.49816","-80.37626","5.7","FORT PIERCE ST LUCIE CO INTERNATIONAL AIRPORT, FL US","       2.9","W","   1960.1","","    1960.1","W","       113","W","        68","W","         7","W","","","","","         0","W","         2","W","         0","W","       333","W","        88","W","       237"," ","        44"," ","        72"," ","   -2.1","W,0122,+","","","","","  56.9"," ,W,0519, ","   37.2","W,0622, ","","","","","-2.1","W,0122","","","     314.9","9","     314.9","W","    870.9"," ,W","","","     22.91","W","     28.26","W","     17.56","W","       270","W","       270","W","      24.1","W","      31.3","W"
