"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0050R04S","1998","66.75","-150.67","618.7","GOBBLERS KNOB, AK US","","","      5.6","","       5.6","T","       111","T","       111","T","         2","T","","","        55","T","       231","T","       174","T","         8","T","         0","T","  -34.0","T,1215, ","","","  27.9"," ,T,0804, ","   25.0","T,0704, ","0.0","T,0817","-3.0","T,0913","-5.0","T,0928","-8.0","T,1005","-9.0","T,1006","0.0","T,0516","-5.0","T,0504","-5.0","T,0504","-13.0","T,0503","-13.0","T,0503","","","","","    673.6"," ,T","     -1.97","T","      0.75","T","     -4.69","T"
"USS0050R04S","1999","66.75","-150.67","618.7","GOBBLERS KNOB, AK US","","","","","","","        66","T","        66","T","         1","T","","","","","","","","","","","","","","","","","  45.7"," ,T,0807, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    408.1"," ,T","","","","","",""
"USS0050R04S","2000","66.75","-150.67","618.7","GOBBLERS KNOB, AK US","","","","","","","       117","T","       117","T","         1","T","","","","","","","","","","","","","","","","","  45.7"," ,T,0908, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    635.4"," ,T","","","","","",""
"USS0050R04S","2001","66.75","-150.67","618.7","GOBBLERS KNOB, AK US","","","","","","","       111","T","       111","T","         0","T","","","","","","","","","","","","","","","","","  22.9"," ,T,0811, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    506.1"," ,T","","","","","",""
"USS0050R04S","2002","66.75","-150.67","618.7","GOBBLERS KNOB, AK US","","","","","","","       109","T","       109","T","         1","T","","","","","","","","","","","","","","","","","  25.4"," ,T,0820, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    569.8"," ,T","","","","","",""
"USS0050R04S","2003","66.75","-150.67","618.7","GOBBLERS KNOB, AK US","","","","","","","       130","T","       130","T","         4","T","","","","","","","","","","","","","","","","","  35.6"," ,T,0902,+","","","","","","","","","","","","","","","","","","","","","","","","","","","    724.1"," ,T","","","","","",""
"USS0050R04S","2004","66.75","-150.67","618.7","GOBBLERS KNOB, AK US","","","","","","","        80","T","        80","T","         1","T","","","","","","","","","","","","","","","","","  25.4"," ,T,0813, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    410.2"," ,T","","","","","",""
"USS0050R04S","2005","66.75","-150.67","618.7","GOBBLERS KNOB, AK US","","","","","","","       109","T","       109","T","         1","T","","","","","","","","","","","","","","","","","  25.4"," ,T,0602, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    546.8"," ,T","","","","","",""
"USS0050R04S","2006","66.75","-150.67","618.7","GOBBLERS KNOB, AK US","","","","","","","        76","T","        76","T","         2","T","","","","","","","","","","","","","","","","","  35.6"," ,T,0812, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    437.9"," ,T","","","","","",""
"USS0050R04S","2007","66.75","-150.67","618.7","GOBBLERS KNOB, AK US","","","     12.6","","      12.6","T","        59","T","        59","T","         2","T","      117","","        72","T","       225","T","       180","T","        27","T","         0","T","  -34.4","T,0108, ","   127"," ,T,1105,+","  25.4"," ,T,0805,+","   25.8","T,0705, ","-1.0","T,0919","-2.9","T,0922","-4.7","T,1002","-8.7","T,1003","-12.5","T,1004","-2.9","T,0515","-2.9","T,0515","-8.8","T,0513","-8.8","T,0513","-9.1","T,0404","","","","","    341.8"," ,T","     -2.32","T","      0.84","T","     -5.48","T"
