"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0045O04S","1988","63.94","-145.4","378.0","GRANITE CRK, AK US","","","","","","","        67","T","        67","T","         1","T","","","","","","","","","","","","","","","","","  25.4"," ,T,0708, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    369.7"," ,T","","","","","",""
"USS0045O04S","1989","63.94","-145.4","378.0","GRANITE CRK, AK US","","","","","","","        71","T","        71","T","         1","T","","","","","","","","","","","","","","","","","  43.2"," ,T,0625, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    364.6"," ,T","","","","","",""
"USS0045O04S","1990","63.94","-145.4","378.0","GRANITE CRK, AK US","","","","","","","        85","T","        85","T","         0","T","","","","","","","","","","","","","","","","","  15.2"," ,T,0909, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    427.9"," ,T","","","","","",""
"USS0045O04S","1991","63.94","-145.4","378.0","GRANITE CRK, AK US","","","","","","","        64","T","        64","T","         0","T","","","","","","","","","","","","","","","","","  17.8"," ,T,0907, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    270.4"," ,T","","","","","",""
"USS0045O04S","1992","63.94","-145.4","378.0","GRANITE CRK, AK US","","","","","","","        81","T","        81","T","         1","T","","","","","","","","","","","","","","","","","  33.0"," ,T,0602, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    379.5"," ,T","","","","","",""
"USS0045O04S","1993","63.94","-145.4","378.0","GRANITE CRK, AK US","","","","","","","        56","T","        56","T","         2","T","","","","","","","","","","","","","","","","","  25.4"," ,T,0822,+","","","","","","","","","","","","","","","","","","","","","","","","","","","    296.1"," ,T","","","","","",""
"USS0045O04S","1994","63.94","-145.4","378.0","GRANITE CRK, AK US","","","     41.3","","      41.3","T","        70","T","        70","T","         0","T","","","        91","T","       241","T","       154","T","        59","T","         4","T","  -47.0","T,1207, ","","","  10.2"," ,T,1008, ","   34.0","T,0805,+","-2.0","T,0813","-3.0","T,0829","-6.0","T,0906","-8.0","T,0926","-13.0","T,0927","0.0","T,0627","-3.0","T,0528","-5.0","T,0507","-25.0","T,0416","-25.0","T,0416","","","","","    242.0"," ,T","     -1.83","T","      4.03","T","     -7.69","T"
"USS0045O04S","1995","63.94","-145.4","378.0","GRANITE CRK, AK US","","","","","","","        62","T","        62","T","         1","T","","","","","","","","","","","","","","","","","  35.6"," ,T,0623, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    285.8"," ,T","","","","","",""
"USS0045O04S","1996","63.94","-145.4","378.0","GRANITE CRK, AK US","","","","","","","        60","T","        60","T","         0","T","","","","","","","       164","T","        32","T","         0","T","","","","","  20.3"," ,T,0808,+","   29.0","T,0617, ","","","","","","","","","","","","","","","","","","","","","","","","","    283.3"," ,T","","","      1.00","T","",""
"USS0045O04S","1997","63.94","-145.4","378.0","GRANITE CRK, AK US","","","","","","","        68","T","        68","T","         0","T","","","","","","","","","","","","","","","","","  17.8"," ,T,0608, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    316.1"," ,T","","","","","",""
"USS0045O04S","1998","63.94","-145.4","378.0","GRANITE CRK, AK US","","","","","","","        62","T","        62","T","         1","T","","","        73","T","       248","T","       138","T","        35","T","         0","T","  -46.0","T,0103, ","","","  55.9"," ,T,0717, ","   31.0","T,0629, ","0.0","T,0817","-6.0","T,0818","-6.0","T,0818","-10.0","T,0928","-10.0","T,0928","0.0","T,0610","-3.0","T,0512","-7.0","T,0511","-7.0","T,0511","-9.0","T,0412","","","","","    308.5"," ,T","     -1.48","T","      4.08","T","     -7.03","T"
"USS0045O04S","2001","63.94","-145.4","378.0","GRANITE CRK, AK US","","","","","","","        69","T","        69","T","         0","T","","","","","","","","","","","","","","","","","  17.8"," ,T,0729, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    249.4"," ,T","","","","","",""
"USS0045O04S","2002","63.94","-145.4","378.0","GRANITE CRK, AK US","","","      2.4","","       2.4","T","        73","T","        73","T","         0","T","      201","","        69","T","       236","T","       138","T","        56","T","         0","T","  -39.8","T,0126,+","   432"," ,T,0416,+","  20.3"," ,T,0816, ","   30.6","T,0525, ","-0.1","T,0801","-2.8","T,0815","-5.1","T,0922","-7.9","T,1004","-13.0","T,1005","-0.4","T,0622","-2.4","T,0516","-5.7","T,0505","-8.9","T,0504","-8.9","T,0504","","","","","    348.9"," ,T","     -0.59","T","      5.37","T","     -6.56","T"
"USS0045O04S","2003","63.94","-145.4","378.0","GRANITE CRK, AK US","","","      5.4","","       5.4","T","        62","T","        62","T","         1","T","      176","","        81","T","       245","T","       139","T","        65","T","         1","T","  -39.8","T,0107, ","   356"," ,T,1231,+","  27.9"," ,T,0716, ","   32.3","T,0709, ","-0.3","T,0809","-3.4","T,0820","-9.0","T,0914","-9.0","T,0914","-9.0","T,0914","-0.8","T,0613","-2.7","T,0526","-5.8","T,0508","-8.2","T,0501","-11.8","T,0411","    6543.6","6","    6543.6","T","    305.9"," ,T","     -1.59","T","      4.82","T","     -8.00","T"
"USS0045O04S","2004","63.94","-145.4","378.0","GRANITE CRK, AK US","","","","","","","        77","T","        77","T","         0","T","      215","","","","","","","","","","","","","","   610"," ,T,1228, ","  20.3"," ,T,0608, ","","","","","","","","","","","","","","","","","","","","","","","    7297.5","5","    7297.5","T","    300.2"," ,T","","","","","",""
"USS0045O04S","2005","63.94","-145.4","378.0","GRANITE CRK, AK US","","","","","","","        71","T","        71","T","         0","T","","","","","","","","","","","","","","","","","  20.3"," ,T,0801,+","","","","","","","","","","","","","","","","","","","","","","","","","","","    346.4"," ,T","","","","","",""
