"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00415060","1947","27.56838","-99.43295","146.9","LAREDO 2, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","         4"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00415060","1948","27.56838","-99.43295","146.9","LAREDO 2, TX US","","","","","","","","","","","","","","","","","","","","","","","","","         2"," ","         3"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00415060","1966","27.56838","-99.43295","146.9","LAREDO 2, TX US","   2091.9","","    2091.9","0","        64","0","        30","0","         5","0","        0","","         0","0","         0","0","        14","0","         0","0","       296","0","       162","0","","","","","   -4.4","0,1212, ","     0"," ,0,1231,+","     0","T,0,0223, ","  85.9"," ,0,0808, ","   40.6","0,0806, ","    1978.6","0","-1.1","0,1211","-4.4","0,1212","-4.4","0,1212","","","","","-1.1","0,0223","-3.9","0,0130","","","","","     560.4","4","     560.4","0","     17.26","0","     29.83","0","    569.3"," ,0","        0","T,0","     22.27","0","     28.76","0","     15.78","0","     23229","0"
"USC00415060","1967","27.56838","-99.43295","146.9","LAREDO 2, TX US","   2196.2","","    2196.2","0","        63","0","        34","0","         5","0","        1","","         1","0","         0","0","         6","0","         0","0","       313","0","       158","0","","","","","   -2.8","0,0207,+","    51"," ,0,0109, ","    69"," ,0,0109, ","  91.7"," ,0,0922, ","   41.7","0,0508, ","    2113.8","0","-1.1","0,1223","","","","","","","","","-1.1","0,0209","-2.8","0,0207","","","","","     445.5","5","     445.5","0","     17.71","0","     29.81","0","    605.0"," ,0","       69"," ,0","     22.98","0","     29.24","0","     16.71","0","     24318","0"
"USC00415060","1968","27.56838","-99.43295","146.9","LAREDO 2, TX US","   1966.7","","    1966.7","0","        71","0","        41","0","         5","0","        0","","         0","0","         0","0","         5","0","         0","0","       296","0","       135","0","","","","","   -2.2","0,0113, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  79.2"," ,0,1004, ","   39.4","0,0813, ","    1702.5","0","-0.6","0,1204","","","","","","","","","-0.6","0,0224","-2.2","0,0113","","","","","     675.1","1","     675.1","0","     17.39","0","     29.09","0","    636.7"," ,0","        0"," ,0","     21.93","0","     27.87","0","     15.99","0","     21762","0"
"USC00415060","1969","27.56838","-99.43295","146.9","LAREDO 2, TX US","   2249.1","","    2249.1","0","        66","0","        37","0","         7","0","        0","","         0","0","         0","0","         4","0","         0","0","       313","0","       170","0","","","","","   -3.9","0,0105, ","     0"," ,0,1231,+","     0","T,0,1229, ","  66.5"," ,0,0604, ","   42.8","0,0817, ","    1935.2","0","-2.2","0,1120","-2.2","0,1120","","","","","","","0.0","0,0111","-3.9","0,0105","","","","","     461.0","0","     461.0","0","     18.49","0","     30.16","0","    604.4"," ,0","        0","T,0","     23.17","0","     29.39","0","     16.94","0","     23710","0"
"USC00415060","1970","27.56838","-99.43295","146.9","LAREDO 2, TX US","   1986.1","","    1986.1","0","        60","0","        34","0","         3","0","        0","","         0","0","         0","0","         8","0","         0","0","       307","0","       140","0","","","","","   -6.1","0,0107, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  56.1"," ,0,0923, ","   40.0","0,0823, ","    1806.5","0","-0.6","0,1116","","","","","","","","","-0.6","0,0203","-6.1","0,0107","-6.1","0,0107","","","     599.3","3","     599.3","0","     17.80","0","     29.60","0","    398.6"," ,0","        0"," ,0","     22.28","0","     28.47","0","     16.09","0","     22393","0"
"USC00415060","1971","27.56838","-99.43295","146.9","LAREDO 2, TX US","   2182.2","","    2182.2","0","        52","0","        34","0","        10","0","        0","","         0","0","         0","0","         2","0","         0","0","       338","0","       148","0","","","","","    0.0","0,0209,+","     0"," ,0,1231,+","     0"," ,0,1231,+"," 164.6"," ,0,0912, ","   41.7","0,0505, ","    1853.8","0","","","","","","","","","","","0.0","0,0209","","","","","","","     331.6","6","     331.6","0","     18.50","0","     30.29","0","   1074.1"," ,0","        0"," ,0","     23.45","0","     29.74","0","     17.16","0","     22971","0"
"USC00415060","1972","27.56838","-99.43295","146.9","LAREDO 2, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     335.1","1","     335.1"," ","","","","","","","","","","","","","","","",""
"USC00415060","1974","27.56838","-99.43295","146.9","LAREDO 2, TX US","","","","","        44","0","        28","0","        11","0","        0","","         0","0","","","","","","","","","","","","","         3"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 159.8"," ,0,0807, ","","","","","","","","","","","","","","","","","","","","","","","     448.2","2","     448.2","0","","","","","    743.8"," ,0","        0"," ,0","","","","","","","",""
