"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CPIE","1999","40.2461","-120.6422","1737.4","PIERCE CALIFORNIA, CA US","    121.7","","     121.7","U","         0","U","       164","U","         4","U","       145","U","         7","U","  -13.3","U,0211, ","   35.0","U,0712, ","0.0","U,0831","-2.8","U,1029","-5.6","U,1117","-7.2","U,1121","-8.9","U,1122","-0.6","U,0608","-2.2","U,0516","-5.0","U,0515","-8.3","U,0410","-11.7","U,0409","    3625.3","3","    3625.3","U","      9.52","U","     17.20","U","      1.84","U"
"USR0000CPIE","2000","40.2461","-120.6422","1737.4","PIERCE CALIFORNIA, CA US","    160.2","","     160.2","U","         0","U","       172","U","         0","U","       133","U","        11","U","  -12.2","U,0102, ","   36.1","U,0731, ","-1.7","U,0905","-2.2","U,0923","-6.7","U,1108","-6.7","U,1108","-10.0","U,1111","-1.7","U,0531","-4.4","U,0512","-4.4","U,0512","-7.8","U,0511","-8.9","U,0301","    3090.0","0","    3090.0","U","      9.49","U","     16.78","U","      2.19","U"
"USR0000CPIE","2001","40.2461","-120.6422","1737.4","PIERCE CALIFORNIA, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    3295.6","6","    3295.6","U","","","","","",""
"USR0000CPIE","2004","40.2461","-120.6422","1737.4","PIERCE CALIFORNIA, CA US","    150.4","","     150.4","U","         0","U","       153","U","         4","U","       140","U","        15","U","  -15.0","U,0103, ","   35.0","U,0811, ","0.0","U,0921","-3.9","U,1021","-5.0","U,1026","-7.8","U,1027","-10.6","U,1128","0.0","U,0529","-2.8","U,0512","-5.0","U,0417","-7.8","U,0303","-10.0","U,0210","    3247.5","5","    3247.5","U","      9.58","U","     16.93","U","      2.22","U"
"USR0000CPIE","2005","40.2461","-120.6422","1737.4","PIERCE CALIFORNIA, CA US","    174.8","","     174.8","U","         0","U","       166","U","         2","U","       131","U","        17","U","  -10.6","U,0112, ","   35.0","U,0714, ","0.0","U,0911","-2.2","U,1004","-8.9","U,1126","-8.9","U,1126","-8.9","U,1126","0.0","U,0619","-3.3","U,0607","-8.9","U,0414","-8.9","U,0414","-8.9","U,0414","    3511.6","6","    3511.6","U","      9.35","U","     16.59","U","      2.11","U"
"USR0000CPIE","2006","40.2461","-120.6422","1737.4","PIERCE CALIFORNIA, CA US","    202.0","","     202.0","U","         0","U","       167","U","         9","U","       140","U","        18","U","  -13.9","U,0216, ","   37.2","U,0723, ","0.0","U,0915","-2.8","U,0916","-5.6","U,1111","-6.7","U,1112","-11.7","U,1128","-1.1","U,0529","-2.8","U,0419","-5.6","U,0417","-6.7","U,0322","-9.4","U,0319","    3412.4","4","    3412.4","U","      9.34","U","     16.89","U","      1.80","U"
"USR0000CPIE","2007","40.2461","-120.6422","1737.4","PIERCE CALIFORNIA, CA US","    212.1","","     212.1","U","         0","U","       146","U","        10","U","       137","U","        29","U","  -15.0","U,0113, ","   40.0","U,0705, ","-1.7","U,0928","-3.3","U,0929","-4.4","U,1120","-6.7","U,1130","-8.9","U,1201","-1.7","U,0607","-2.8","U,0505","-5.6","U,0420","-6.7","U,0419","-10.0","U,0327","    3251.1","1","    3251.1","U","      9.66","U","     17.11","U","      2.22","U"
"USR0000CPIE","2008","40.2461","-120.6422","1737.4","PIERCE CALIFORNIA, CA US","    209.1","","     209.1","U","         0","U","       151","U","        25","U","       130","U","         8","U","  -15.0","U,1217, ","   33.9","U,0814,+","-1.7","U,1009","-3.3","U,1010","-5.0","U,1105","-6.7","U,1213","-11.1","U,1216","0.0","U,0522","-4.4","U,0501","-4.4","U,0501","-8.3","U,0420","-10.6","U,0205","    3691.5","5","    3691.5","U","      9.45","U","     15.78","U","      3.11","U"
"USR0000CPIE","2009","40.2461","-120.6422","1737.4","PIERCE CALIFORNIA, CA US","    228.2","","     228.2","U","         1","U","       158","U","        12","U","       127","U","        11","U","  -18.3","U,1208, ","   33.9","U,0819,+","0.0","U,0929","-3.9","U,1004","-4.4","U,1028","-11.1","U,1205","-11.1","U,1205","0.0","U,0430","-3.3","U,0425","-5.0","U,0415","-9.4","U,0323","-9.4","U,0323","    3320.3","3","    3320.3","U","      9.34","U","     15.70","U","      2.99","U"
"USR0000CPIE","2010","40.2461","-120.6422","1737.4","PIERCE CALIFORNIA, CA US","    151.5","","     151.5","U","         0","U","       161","U","         9","U","       108","U","         3","U","  -17.2","U,1124, ","   32.8","U,0724,+","0.0","U,1023","-2.8","U,1027","-5.0","U,1108","-6.7","U,1109","-13.3","U,1123","0.0","U,0529","-3.9","U,0523","-5.0","U,0522","-6.7","U,0326","-9.4","U,0313","    3675.8","8","    3675.8","U","      8.62","U","     14.62","U","      2.61","U"
