"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00205690","1912","46.4121","-86.6625","207.3","MUNISING, MI US","     90.8","","      90.8","6","       140","6","        73","6","         4","6","      133","","        18","6","        35","6","       188","6","        90","6","        69","6","         3","6","","","","","  -31.7","6,0210, ","   686"," ,6,0210,+","    84"," ,6,1217, ","  41.1"," ,6,1012, ","   36.7","6,0706, ","0.0","6,0927","-3.3","6,1024","-8.9","6,1103","-8.9","6,1103","-8.9","6,1103","0.0","6,0607","-2.8","6,0514","-5.0","6,0428","-10.6","6,0408","-10.6","6,0408","    5394.0","0","    5394.0","6","    729.1"," ,6","     1088"," ,6","      4.02","6","      9.20","6","     -1.16","6"
"USC00205690","1913","46.4121","-86.6625","207.3","MUNISING, MI US","    133.9","","     133.9","6","       152","6","        82","6","         4","6","      138","","        33","6","        13","6","       187","6","        76","6","        82","6","         6","6","","","","","  -25.6","6,0304,+","   686"," ,6,0321, ","   229"," ,6,1108,+","  57.4"," ,6,0712, ","   35.0","6,0820, ","-1.7","6,0914","-2.2","6,1013","-4.4","6,1101","-7.2","6,1110","-13.3","6,1221","-1.7","6,0609","-2.8","6,0526","-4.4","6,0510","-7.8","6,0420","-15.0","6,0328","    4934.2","2","    4934.2","6","    876.1"," ,6","     2907"," ,6","      5.18","6","     10.54","6","     -0.17","6"
"USC00205690","1914","46.4121","-86.6625","207.3","MUNISING, MI US","    138.8","","     138.8","6","       165","6","        99","6","         4","6","      136","","        51","6","        21","6","       175","6","        84","6","        93","6","         5","6","         2"," ","","","  -28.3","6,0212, ","   610"," ,6,0310,+","   178"," ,6,1214, ","  62.2"," ,6,0428, ","   34.4","6,0608, ","-2.8","6,1014","-2.8","6,1014","-5.0","6,1113","-12.8","6,1117","-12.8","6,1117","-1.7","6,0620","-2.2","6,0514","-4.4","Z,0513","-13.9","6,0413","-13.9","6,0413","    4828.3","3","    4828.3","6","    871.3"," ,6","     3135"," ,6","      5.32","6","     10.63","6","      0.00","6"
"USC00205690","1915","46.4121","-86.6625","207.3","MUNISING, MI US","     46.5","","      46.5","6","       176","6","        98","6","         6","6","      142","","        38","6","         9","6","       171","6","        74","6","        71","6","         0","6","","","","","  -27.2","6,0130, ","   914"," ,6,0207, ","   203"," ,6,0107, ","  37.6"," ,6,1111, ","   30.0","6,0713, ","0.0","6,0827","-2.2","6,0929","-4.4","6,1024","-10.0","6,1116","-10.0","6,1116","-0.6","6,0623","-3.9","6,0527","-8.3","6,0413","-8.3","6,0413","-11.1","6,0403","    4719.6","6","    4719.6","6","    997.9"," ,6","     2687"," ,6","      5.33","6","     10.42","6","      0.23","6"
"USC00205690","1916","46.4121","-86.6625","207.3","MUNISING, MI US","    183.0","","     183.0","6","       185","6","       101","6","         8","6","      151","","        41","6","        42","6","       181","6","        94","6","        81","6","        10","6","","","","","  -27.8","6,0317, ","  1067"," ,6,0311,+","   305"," ,6,1209, ","  68.1"," ,6,0602, ","   37.2","6,0730,+","0.0","6,0930","-4.4","6,1024","-4.4","6,1024","-7.8","6,1114","-10.0","6,1115","-0.6","6,0621","-2.2","6,0519","-9.4","6,0409","-9.4","6,0409","-9.4","6,0409","    5138.7","7","    5138.7","6","   1105.7"," ,6","     3272"," ,6","      4.48","6","      9.84","6","     -0.89","6"
"USC00205690","1917","46.4121","-86.6625","207.3","MUNISING, MI US","     80.4","","      80.4","6","       173","6","        92","6","         1","6","      157","","        60","6","        45","6","       208","6","       102","6","        58","6","         3","6","","","","","  -31.1","6,0212, ","  1245"," ,6,0318, ","   254"," ,6,0523, ","  28.4"," ,6,0501, ","   38.3","6,0729, ","-1.1","6,1006","-2.2","6,1009","-4.4","6,1023","-7.8","6,1024","-10.0","6,1202","-0.6","6,0616","-3.9","6,0528","-5.6","6,0504","-7.8","6,0424","-11.1","6,0410","    5640.1","1","    5640.1","6","    733.9"," ,6","     3920"," ,6","      2.48","6","      7.53","6","     -2.56","6"
"USC00205690","1918","46.4121","-86.6625","207.3","MUNISING, MI US","     69.3","","      69.3","6","       161","6","        86","6","         6","6","      129","","        32","6","        35","6","       185","6","        73","6","        76","6","         4","6","","","","","  -33.3","6,0205, ","   940"," ,6,0219,+","   127"," ,6,1211,+","  44.5"," ,6,0829, ","   35.0","6,0721, ","0.0","6,0917","-2.2","6,0924","-4.4","6,1007","-9.4","6,1123","-9.4","6,1123","0.0","6,0708","-3.3","6,0623","-4.4","6,0513","-11.1","6,0420","-11.1","6,0420","    5257.6","6","    5257.6","6","    972.2"," ,6","     2150"," ,6","      4.48","6","     10.37","6","     -1.42","6"
"USC00205690","1919","46.4121","-86.6625","207.3","MUNISING, MI US","    119.7","","     119.7","6","       158","6","        78","6","         5","6","      137","","        38","6","        16","6","       192","6","        83","6","        71","6","         5","6","","","","","  -26.7","6,1218, ","   584"," ,6,0302,+","   229"," ,6,0217, ","  32.8"," ,6,1104, ","   32.8","6,0803,+","-0.6","6,0917","-2.2","6,1008","-5.0","6,1017","-6.7","6,1029","-10.0","6,1113","-1.1","6,0628","-2.2","6,0519","-4.4","6,0511","-6.7","6,0429","-10.0","6,0402","    4818.9","9","    4818.9","6","    798.0"," ,6","     2700"," ,6","      4.47","6","      9.20","6","     -0.26","6"
"USC00205690","1920","46.4121","-86.6625","207.3","MUNISING, MI US","","","","","       154","6","        95","6","         5","6","      134","","        43","6","        47","6","       196","6","","","","","","","","","         1"," ","  -30.6","6,0307, ","  1016"," ,6,0305, ","   254"," ,6,0304, ","  61.0"," ,6,0723, ","","","-0.6","6,0902","-2.2","6,0919","-9.4","6,1110","-9.4","6,1110","-9.4","6,1110","0.0","6,0704","-2.8","6,0529","-6.7","6,0514","-6.7","6,0514","-11.1","6,0408","    6023.4","4","    6023.4","6","    917.4"," ,6","     2890"," ,6","","","","","     -1.88","6"
"USC00205690","1921","46.4121","-86.6625","207.3","MUNISING, MI US","","","","","       165","6","        79","6","         5","6","      145","","        27","6","        10","6","       181","6","","","","","","","","","","","  -26.7","6,0220, ","   635"," ,6,0117,+","   279"," ,6,0116, ","  38.4"," ,6,0320, ","","","0.0","6,0926","-2.8","6,1013","-5.0","6,1102","-7.2","6,1106","-10.6","6,1109","-1.7","6,0605","-2.8","6,0516","-4.4","6,0416","-12.2","6,0401","-12.2","6,0401","","","","","    813.5"," ,6","     2280"," ,6","","","","","      1.00","6"
