"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00003104","1950","33.63166","-116.16412","-36.0","DESERT RESORTS REGIONAL AIRPORT, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","         7"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00003104","1951","33.63166","-116.16412","-36.0","DESERT RESORTS REGIONAL AIRPORT, CA US","","","   2177.6","","    2177.6","0","        18","0","         7","0","         0","0","        0","","         0","0","         0","0","        26","0","         0","0","       318","0","       178","0","","","","","         9"," ","   -2.8","0,1221,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  12.4"," ,0,0828, ","   47.8","0,0731, ","0.0","0,1215","-2.8","0,1221","","","","","-1.7","0,0304","-2.8","0,0202","","","","","     538.5","5","     538.5","0","     48.4"," ,0","        0"," ,0","     22.33","0","     31.43","0","     13.23","0","","","","","","","",""
"USW00003104","1952","33.63166","-116.16412","-36.0","DESERT RESORTS REGIONAL AIRPORT, CA US","","","   2386.0","","    2386.0","0","        25","0","        11","0","         2","0","        0","","         0","0","         0","0","        20","0","         0","0","       288","0","       192","0","         4"," ","","","         7"," ","   -3.9","0,0111,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  28.7"," ,0,0118, ","   47.2","0,0802, ","0.0","0,1125","","","","","","","-0.6","0,0215","-3.9","0,0111","","","","","     792.8","8","     792.8","0","    138.9"," ,0","        0"," ,0","     22.61","0","     31.19","0","     14.04","0","","","","","","","",""
"USW00003104","1953","33.63166","-116.16412","-36.0","DESERT RESORTS REGIONAL AIRPORT, CA US","","","   2078.5","","    2078.5","0","         8","0","         1","0","         0","0","        0","","         0","0","         0","0","        12","0","         0","0","       337","0","       168","0","","","","","         5"," ","   -4.4","0,1224, ","     0"," ,0,1231,+","     0"," ,0,1231,+","   2.5"," ,0,0826, ","   45.6","0,0911,+","-0.6","0,1119","-4.4","0,1224","-4.4","0,1224","","","-0.6","0,0223","-2.2","0,0221","","","","","     577.2","2","     577.2","0","      8.1"," ,0","        0"," ,0","     22.59","0","     31.71","0","     13.47","0","","","","","","","",""
"USW00003104","1954","33.63166","-116.16412","-36.0","DESERT RESORTS REGIONAL AIRPORT, CA US","","","   2206.0","","    2206.0","0","        17","0","         6","0","         0","0","        0","","         0","0","         0","0","        16","0","         0","0","       330","0","       199","0","","","","","         6"," ","   -3.9","0,1229,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  13.0"," ,0,0831, ","   47.8","0,0728, ","-1.1","0,1222","-3.9","0,1229","","","","","-0.6","0,0116","-2.2","0,0103","","","","","     551.3","3","     551.3","0","     44.9"," ,0","        0"," ,0","     23.01","0","     32.09","0","     13.93","0","","","","","","","",""
"USW00003104","1955","33.63166","-116.16412","-36.0","DESERT RESORTS REGIONAL AIRPORT, CA US","","","   2023.0","","    2023.0","0","        10","0","         8","0","         0","0","        0","","         0","0","         0","0","         9","0","         0","0","       316","0","       173","0","         4"," ","","","        11"," ","   -2.8","0,0222,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  16.8"," ,0,0731, ","   46.7","0,0622,+","","","","","","","","","-2.8","0,0222","-2.8","0,0222","","","","","     641.5","5","     641.5","0","     63.1"," ,0","        0"," ,0","     21.97","0","     30.64","0","     13.29","0","","","","","","","",""
"USW00003104","1956","33.63166","-116.16412","-36.0","DESERT RESORTS REGIONAL AIRPORT, CA US","","","   2179.2","","    2179.2","0","         6","0","         2","0","         0","0","        0","","         0","0","         0","0","        13","0","         0","0","       332","0","       179","0","","","","","         4"," ","   -3.9","0,0203, ","     0"," ,0,1231,+","     0"," ,0,1231,+","   3.6"," ,0,0725, ","   45.6","0,0918,+","0.0","0,1104","-2.8","0,1210","","","","","-1.1","0,0313","-2.8","0,0204","","","","","     597.4","4","     597.4","0","     12.4"," ,0","        0"," ,0","     22.56","0","     31.74","0","     13.39","0","","","","","","","",""
"USW00003104","1957","33.63166","-116.16412","-36.0","DESERT RESORTS REGIONAL AIRPORT, CA US","","","   2236.4","","    2236.4","0","        16","0","         5","0","         0","0","        0","","         0","0","         0","0","         2","0","         0","0","       327","0","       159","0","         3"," ","","","         5"," ","   -0.6","0,1130, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  18.5"," ,0,0129, ","   48.3","0,0626, ","-0.6","0,1130","","","","","","","","","","","","","","","     519.1","1","     519.1","0","     56.3"," ,0","        0"," ,0","     23.01","0","     31.16","0","     14.86","0","","","","","","","",""
"USW00003104","1958","33.63166","-116.16412","-36.0","DESERT RESORTS REGIONAL AIRPORT, CA US","","","   2410.6","","    2410.6","0","        12","0","         8","0","         1","0","        0","","         0","0","         0","0","         7","0","         0","0","       336","0","       182","0","","","","","         6"," ","   -3.3","0,1118, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  27.9"," ,0,0204, ","   47.2","0,0711,+","-2.8","0,1117","-2.8","0,1117","","","","","-0.6","0,0124","","","","","","","     566.6","6","     566.6","0","     74.6"," ,0","        0"," ,0","     23.53","0","     32.17","0","     14.89","0","","","","","","","",""
"USW00003104","1959","33.63166","-116.16412","-36.0","DESERT RESORTS REGIONAL AIRPORT, CA US","","","   2287.5","","    2287.5","0","        15","0","         7","0","         1","0","        0","","         0","0","         0","0","         3","0","         0","0","       323","0","       189","0","         4"," ","","","         6"," ","   -1.1","0,0105, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  26.2"," ,0,1224, ","   47.2","0,0622, ","","","","","","","","","-0.6","0,0121","","","","","","","     466.0","0","     466.0","0","     67.4"," ,0","        0"," ,0","     23.20","0","     31.93","0","     14.48","0","","","","","","","",""
