"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0021B21S","1994","47.36","-121.57","890.0","MOUNT GARDNER, WA US","","","     25.6","","      25.6","T","       180","T","       180","T","        33","T","","","         0","T","       128","T","        25","T","        66","T","         1","T","  -11.7","T,0208, ","","","  91.4"," ,T,1031, ","   33.0","T,0720, ","0.0","T,1016","-2.2","T,1102","-5.2","T,1105","-7.3","T,1117","-11.2","T,1203","-1.3","T,0503","-3.6","T,0324","-7.0","T,0323","-7.0","T,0323","-11.7","T,0208","","","","","   2617.2"," ,T","      6.93","T","     11.41","T","      2.44","T"
"USS0021B21S","1995","47.36","-121.57","890.0","MOUNT GARDNER, WA US","","","     27.7","","      27.7","T","       175","T","       175","T","        37","T","","","         0","T","       118","T","        20","T","        61","T","         0","T","  -13.5","T,0214, ","",""," 106.7"," ,T,1128, ","   31.2","T,0630, ","-0.3","T,1021","-2.4","T,1030","-4.6","T,1204","-7.3","T,1205","-9.9","T,1208","-0.5","T,0422","-3.0","T,0415","-4.6","T,0326","-8.4","T,0215","-13.5","T,0214","    4155.5","5","    4155.5","T","   2856.4"," ,T","      7.18","T","     11.46","T","      2.90","T"
"USS0021B21S","1996","47.36","-121.57","890.0","MOUNT GARDNER, WA US","","","     76.6","","      76.6","T","       215","T","       215","T","        40","T","","","         0","T","       141","T","        36","T","        50","T","         2","T","  -17.7","T,0130, ","",""," 127.0"," ,T,0208, ","   33.7","T,0714, ","-0.2","T,1015","-2.2","T,1107","-5.9","T,1119","-9.3","T,1122","-9.3","T,1122","-2.1","T,0510","-3.3","T,0403","-5.4","T,0325","-9.4","T,0228","-9.4","T,0228","    4367.4","4","    4367.4","T","   3277.7"," ,T","      6.28","T","     10.54","T","      2.02","T"
"USS0021B21S","1997","47.36","-121.57","890.0","MOUNT GARDNER, WA US","","","     28.8","","      28.8","T","       202","T","       202","T","        39","T","","","         0","T","       132","T","        18","T","        58","T","         0","T","  -10.7","T,0126, ","","","  91.4"," ,T,1216, ","   30.8","T,0704, ","-0.1","T,1011","-2.2","T,1211","-6.6","T,1221","","","","","-0.4","T,0507","-2.9","T,0411","-5.9","T,0404","-8.5","T,0208","-9.3","T,0127","    4389.8","8","    4389.8","T","   3044.2"," ,T","      6.90","T","     10.96","T","      2.85","T"
"USS0021B21S","1998","47.36","-121.57","890.0","MOUNT GARDNER, WA US","","","     61.4","","      61.4","T","       190","T","       190","T","        31","T","","","         0","T","       128","T","        20","T","        64","T","         3","T","  -16.7","T,1220, ","",""," 119.4"," ,T,1227, ","   34.2","T,0727, ","-0.4","T,1015","-2.4","T,1203","-9.3","T,1218","-9.3","T,1218","-9.3","T,1218","-0.6","T,0516","-3.2","T,0408","-4.4","T,0329","-10.0","T,0113","-10.0","T,0113","    4117.4","4","    4117.4","T","   2649.9"," ,T","      7.16","T","     11.23","T","      3.09","T"
"USS0021B21S","1999","47.36","-121.57","890.0","MOUNT GARDNER, WA US","","","     30.3","","      30.3","T","       212","T","       212","T","        35","T","","","         0","T","       157","T","        10","T","        56","T","         0","T","   -7.6","T,0209, ","","","  83.8"," ,T,1215, ","   31.0","T,0823, ","-0.7","T,1014","-2.2","T,1031","","","","","","","-0.1","T,0608","-2.5","T,0510","-5.5","T,0331","-7.6","T,0209","","","    4302.5","5","    4302.5","T","   2962.8"," ,T","      6.51","T","     10.62","T","      2.40","T"
"USS0021B21S","2000","47.36","-121.57","890.0","MOUNT GARDNER, WA US","","","     19.5","","      19.5","T","       185","T","       185","T","        19","T","","","         0","T","       154","T","        23","T","        45","T","         0","T","  -10.0","T,1213, ","","","  88.9"," ,T,0930, ","   30.9","T,0627, ","0.0","T,1021","-3.1","T,1109","-6.0","T,1110","-7.2","T,1111","-9.1","T,1211","-0.7","T,0512","-3.3","T,0424","-4.5","T,0307","","","","","    4186.2","2","    4186.2","T","   2102.6"," ,T","      6.24","T","     10.32","T","      2.16","T"
"USS0021B21S","2001","47.36","-121.57","890.0","MOUNT GARDNER, WA US","","","     24.4","","      24.4","T","       182","T","       182","T","        31","T","","","         0","T","       154","T","        23","T","        57","T","         0","T","   -9.1","T,0207, ","","","  88.9"," ,T,1213, ","   32.1","T,0809, ","-0.1","T,1020","-2.8","T,1028","-5.4","T,1217","","","","","0.0","T,0611","-2.4","T,0506","-5.5","T,0303","-6.8","T,0210","-9.1","T,0207","    4441.9","9","    4441.9","T","   2419.9"," ,T","      6.45","T","     10.47","T","      2.43","T"
"USS0021B21S","2002","47.36","-121.57","890.0","MOUNT GARDNER, WA US","","","     41.3","","      41.3","T","       180","T","       180","T","        26","T","","","         0","T","       138","T","        25","T","        57","T","         2","T","   -7.3","T,0128, ","","","  68.6"," ,T,0311, ","   34.2","T,0710, ","-3.3","T,1029","-3.3","T,1029","-4.5","T,1030","","","","","-0.2","T,0516","-2.3","T,0507","-5.9","T,0321","-7.0","T,0308","","","    4400.0","0","    4400.0","T","   2229.1"," ,T","      6.65","T","     10.67","T","      2.63","T"
"USS0021B21S","2003","47.36","-121.57","890.0","MOUNT GARDNER, WA US","","","     84.2","","      84.2","T","       172","T","       172","T","        34","T","","","         0","T","       133","T","        21","T","        83","T","         2","T","   -9.1","T,1230, ","","","  94.0"," ,T,1020, ","   33.4","T,0903, ","-1.1","T,1029","-3.6","T,1030","-5.1","T,1031","-6.7","T,1122","-9.0","T,1229","-0.1","T,0519","-3.9","T,0404","-5.1","T,0324","-7.9","T,0224","","","    4057.5","5","    4057.5","T","   2672.9"," ,T","      7.37","T","     11.50","T","      3.24","T"
