"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CELC","1996","33.6472","-117.4111","926.0","EL CARISO CALIFORNIA, CA US","   1213.5","","    1213.5","U","         0","U","         3","U","         0","U","       240","U","        95","U","   -0.6","U,0227, ","   42.2","U,0813,+","","","-0.6","U,0227","     815.7","7","     815.7","U","     18.92","U","     25.25","U","     12.60","U"
"USR0000CELC","1997","33.6472","-117.4111","926.0","EL CARISO CALIFORNIA, CA US","   1101.4","","    1101.4","U","         0","U","         0","U","         0","U","       245","U","        85","U","    2.8","U,1209,+","   42.2","U,0806,+","","","","","     975.0","0","     975.0","U","     18.67","U","     25.04","U","     12.30","U"
"USR0000CELC","1998","33.6472","-117.4111","926.0","EL CARISO CALIFORNIA, CA US","    881.7","","     881.7","U","         0","U","         1","U","         0","U","       210","U","        65","U","   -1.7","U,1221, ","   43.9","U,0829, ","-1.7","U,1221","","","    1376.7","7","    1376.7","U","     16.91","U","     22.86","U","     10.95","U"
"USR0000CELC","1999","33.6472","-117.4111","926.0","EL CARISO CALIFORNIA, CA US","   1015.0","","    1015.0","U","         0","U","         6","U","         0","U","       235","U","        62","U","   -1.1","U,0210, ","   40.0","U,0825, ","","","-0.6","U,0409","    1282.3","3","    1282.3","U","     17.98","U","     24.18","U","     11.78","U"
"USR0000CELC","2000","33.6472","-117.4111","926.0","EL CARISO CALIFORNIA, CA US","    986.7","","     986.7","U","         0","U","         0","U","         0","U","       230","U","        69","U","    0.6","U,0306, ","   40.6","U,0916, ","","","","","     882.6","6","     882.6","U","     18.20","U","     24.08","U","     12.32","U"
"USR0000CELC","2001","33.6472","-117.4111","926.0","EL CARISO CALIFORNIA, CA US","   1165.5","","    1165.5","U","         0","U","         3","U","         0","U","       234","U","        87","U","    0.0","U,0214,+","   40.0","U,0924,+","","","0.0","U,0214","    1254.3","3","    1254.3","U","     18.06","U","     24.10","U","     12.03","U"
"USR0000CELC","2002","33.6472","-117.4111","926.0","EL CARISO CALIFORNIA, CA US","    998.2","","     998.2","U","         0","U","         1","U","         0","U","       237","U","        75","U","   -0.6","U,0129, ","   42.2","U,0901, ","","","-0.6","U,0129","    1020.1","1","    1020.1","U","     18.15","U","     24.57","U","     11.72","U"
"USR0000CELC","2003","33.6472","-117.4111","926.0","EL CARISO CALIFORNIA, CA US","   1230.4","","    1230.4","U","         0","U","         0","U","         0","U","       222","U","       109","U","    1.1","U,1227,+","   40.6","U,0922,+","","","","","    1125.2","2","    1125.2","U","     18.54","U","     24.69","U","     12.39","U"
"USR0000CELC","2004","33.6472","-117.4111","926.0","EL CARISO CALIFORNIA, CA US","   1018.0","","    1018.0","U","         0","U","         0","U","         0","U","       237","U","        77","U","    0.6","U,1121, ","   41.1","U,0901, ","","","","","    1011.3","3","    1011.3","U","     18.06","U","     24.62","U","     11.51","U"
"USR0000CELC","2005","33.6472","-117.4111","926.0","EL CARISO CALIFORNIA, CA US","    940.4","","     940.4","U","         0","U","         1","U","         0","U","       238","U","        75","U","    0.0","U,0104, ","   41.1","U,0828,+","","","0.0","U,0104","    1243.0","0","    1243.0","U","     17.93","U","     24.29","U","     11.56","U"
