"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00003125","1955","32.8356","-114.3942","98.8","YUMA PROVING GROUND, AZ US","   2205.8","","    2205.8","X","        23","X","         9","X","         0","X","        0","","         0","X","         0","X","         0","X","         0","X","       298","X","       166","X","         2"," ","        11"," ","    0.6","X,0222,+","     0"," ,X,1231,+","     0"," ,X,1231,+","  24.4"," ,X,0816, ","   45.6","X,0622,+","","","","","","","","","","","","","","","    111.8"," ,X","        0"," ,X","     22.51","X","     29.71","X","     15.32","X","        90","X","      33.4","X"
"USW00003125","1956","32.8356","-114.3942","98.8","YUMA PROVING GROUND, AZ US","   2382.1","","    2382.1","X","         5","X","         1","X","         0","X","        0","","         0","X","         0","X","         4","X","         0","X","       316","X","       175","X","","","         2"," ","   -2.2","X,0204, ","     0"," ,X,1231,+","     0"," ,X,1231,+","   3.3"," ,X,0724, ","   45.6","X,0611, ","","","","","0.0","X,0313","-2.2","X,0204","","","     577.2","2","     577.2","X","      5.4"," ,X","        0"," ,X","     23.11","X","     31.11","X","     15.12","X","       338","X","      24.2","X"
"USW00003125","1957","32.8356","-114.3942","98.8","YUMA PROVING GROUND, AZ US","   2244.6","","    2244.6","X","        24","X","         9","X","         0","X","        0","","         0","X","         0","X","         0","X","         0","X","       307","X","       154","X","         1"," ","         8"," ","    1.1","X,0122, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  24.9"," ,X,1028, ","   47.8","X,0731,+","","","","","","","","","","","     513.5","5","     513.5","X","     87.5"," ,X","        0"," ,X","     23.10","X","     30.33","X","     15.86","X","       360","X","      21.1","X"
"USW00003125","1958","32.8356","-114.3942","98.8","YUMA PROVING GROUND, AZ US","   2479.8","","    2479.8","0","        20","0","        11","0","         2","0","        0","","         0","0","         0","0","         1","0","         0","0","       323","0","       174","0","         1"," ","        15"," ","   -0.6","0,1117, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  34.5"," ,0,0730,+","   47.8","0,0709, ","-0.6","0,1117","","","","","","","","","     551.3","3","     551.3","0","    143.5"," ,0","        0"," ,0","     23.74","0","     31.40","0","     16.09","0","       293","X","      17.5","X"
"USW00003125","1959","32.8356","-114.3942","98.8","YUMA PROVING GROUND, AZ US","   2395.2","","    2395.2","0","        23","0","        10","0","         0","0","        0","","         0","0","         0","0","         2","0","         0","0","       313","0","       178","0","         5"," ","        13"," ","   -0.6","0,0105,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  19.1"," ,0,0806, ","   46.1","0,0623, ","","","","","-0.6","0,0105","","","","","     443.6","6","     443.6","0","     87.6"," ,0","        0"," ,0","     23.53","0","     31.24","0","     15.82","0","       158","X","      20.6","X"
"USW00003125","1960","32.8356","-114.3942","98.8","YUMA PROVING GROUND, AZ US","   2453.2","","    2453.2","0","        12","0","         6","0","         0","0","        0","","         0","0","         0","0","         7","0","         0","0","       307","0","       172","0","         1"," ","        16"," ","   -2.2","0,0103, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  20.1"," ,0,0901, ","   46.7","0,0718,+","0.0","0,1209","","","-1.1","0,0225","-2.2","0,0103","","","     610.9","9","     610.9","0","     55.5"," ,0","        0"," ,0","     23.21","0","     30.98","0","     15.43","0","       158","X","      20.0","X"
"USW00003125","1961","32.8356","-114.3942","98.8","YUMA PROVING GROUND, AZ US","   2179.4","","    2179.4","0","        13","0","         7","0","         0","0","        0","","         0","0","         0","0","         0","0","         0","0","       315","0","       168","0","         1"," ","        18"," ","    1.7","0,1212,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  22.9"," ,0,1215, ","   47.2","0,0614, ","","","","","","","","","","","     480.0","0","     480.0","0","     79.1"," ,0","        0"," ,0","     22.84","0","     30.55","0","     15.13","0","        68","X","      26.7","X"
"USW00003125","1962","32.8356","-114.3942","98.8","YUMA PROVING GROUND, AZ US","   2333.4","","    2333.4","0","        19","0","         5","0","         0","0","        0","","         0","0","         0","0","         2","0","         0","0","       304","0","       180","0","         1"," ","         6"," ","   -3.9","0,0112, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  18.3"," ,0,0124, ","   46.1","0,0825, ","","","","","-1.1","0,0228","-3.9","0,0112","","","     671.7","7","     671.7","0","     50.5"," ,0","        0"," ,0","     23.23","0","     31.11","0","     15.34","0","       293","X","      19.0","X"
"USW00003125","1963","32.8356","-114.3942","98.8","YUMA PROVING GROUND, AZ US","   2312.8","","    2312.8","0","        18","0","         5","0","         1","0","        0","","         0","0","         0","0","        12","0","         0","0","       315","0","       166","0","","","         2"," ","   -2.8","0,0114, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  49.5"," ,0,0917, ","   45.6","0,0722,+","-0.6","0,1214","","","-0.6","0,0122","-2.2","0,0120","","","     497.0","0","     497.0","0","    110.1"," ,0","        0"," ,0","     23.10","0","     30.58","0","     15.62","0","","","",""
"USW00003125","1964","32.8356","-114.3942","98.8","YUMA PROVING GROUND, AZ US","","","","","","","","","","","","","","","","","","","","","","","","","","","         9"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
