"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000AMOT","2005","57.1792","-157.278","53.3","MOTHER GOOSE ALASKA, AK US","      0.0","","       0.0","U","         4","U","       176","U","        68","U","         8","U","         0","U","  -19.2","U,1113, ","   24.3","U,0808, ","0.0","U,0907","-2.6","U,0908","-15.0","U,0920","-15.0","U,0920","-15.0","U,0920","-0.7","U,0430","-6.9","U,0424","-6.9","U,0424","-6.9","U,0424","-9.8","U,0406","    4836.6","6","    4836.6","U","      2.87","U","      6.71","U","     -0.97","U"
"USR0000AMOT","2012","57.1792","-157.278","53.3","MOTHER GOOSE ALASKA, AK US","","","","","        52","U","       191","U","        92","U","         4","U","         0","U","  -31.7","U,0127,+","   22.2","U,0829,+","-1.1","U,0910","-2.2","U,0924","-4.4","U,1013","-8.3","U,1021","-11.7","U,1023","0.0","U,0614","-2.2","U,0528","-4.4","U,0513","-15.0","U,0406","-15.0","U,0406","","","","","      0.21","U","      4.27","U","     -3.85","U"
"USR0000AMOT","2013","57.1792","-157.278","53.3","MOTHER GOOSE ALASKA, AK US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    5798.5","5","    5798.5","U","","","","","",""
"USR0000AMOT","2014","57.1792","-157.278","53.3","MOTHER GOOSE ALASKA, AK US","      0.0","","       0.0","U","         6","U","       142","U","        24","U","        13","U","         0","U","  -22.8","U,0217,+","   23.9","U,1109,+","-1.1","U,0922","-2.8","U,0923","-6.1","U,1006","-8.3","U,1007","-8.9","U,1025","0.0","U,0521","-2.2","U,0520","-4.4","U,0418","-7.8","U,0410","-13.9","U,0409","","","","","      5.18","U","      9.23","U","      1.12","U"
"USR0000AMOT","2015","57.1792","-157.278","53.3","MOTHER GOOSE ALASKA, AK US","      0.0","","       0.0","U","         9","U","       123","U","        36","U","        13","U","         0","U","  -24.7","U,0124,+","   25.1","U,0619, ","-1.1","U,0923","-5.6","U,1031","-5.6","U,1031","-6.7","U,1114","-10.0","U,1115","-1.2","U,0502","-3.7","U,0428","-8.7","U,0413","-8.7","U,0413","-9.9","U,0412","    4728.5","5","    4728.5","U","      5.20","U","      8.79","U","      1.62","U"
"USR0000AMOT","2017","57.1792","-157.278","53.3","MOTHER GOOSE ALASKA, AK US","      0.0","","       0.0","U","        24","U","       162","U","        63","U","         5","U","         0","U","  -33.9","U,0220, ","   22.8","U,0721,+","0.0","U,0929","-2.8","U,0930","-5.0","U,1020","-6.7","U,1023","-8.9","U,1114","-0.6","U,0605","-2.8","U,0531","-4.4","U,0413","-10.0","U,0329","-10.0","U,0329","","","","","      3.35","U","      7.60","U","     -0.90","U"
"USR0000AMOT","2018","57.1792","-157.278","53.3","MOTHER GOOSE ALASKA, AK US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    4835.1","1","    4835.1"," ","","","","","",""
"USR0000AMOT","2022","57.1792","-157.278","53.3","MOTHER GOOSE ALASKA, AK US","      0.0","","       0.0","U","         5","U","       150","U","        47","U","        10","U","         0","U","  -22.8","U,0104,+","   25.6","U,0603, ","0.0","U,0925","-3.9","U,1012","-4.4","U,1013","-8.3","U,1028","-10.0","U,1031","0.0","U,0525","-2.2","U,0515","-10.6","U,0410","-10.6","U,0410","-10.6","U,0410","    5237.8","8","    5237.8","U","      4.70","U","      8.63","U","      0.78","U"
"USR0000AMOT","2023","57.1792","-157.278","53.3","MOTHER GOOSE ALASKA, AK US","      0.0","","       0.0","U","         5","U","       168","U","        59","U","         5","U","         0","U","  -22.2","U,1228, ","   25.0","U,0802,+","0.0","U,0928","-2.2","U,1003","-6.7","U,1012","-6.7","U,1012","-11.7","U,1117","-1.7","U,0602","-2.2","U,0512","-9.4","U,0424","-9.4","U,0424","-9.4","U,0424","    4953.0","0","    4953.0","U","      3.84","U","      7.68","U","      0.00","U"
"USR0000AMOT","2024","57.1792","-157.278","53.3","MOTHER GOOSE ALASKA, AK US","      4.7","","       4.7","U","        16","U","       152","U","        49","U","        10","U","         0","U","  -28.9","U,0128, ","   27.8","U,0722, ","-0.6","U,0814","-3.9","U,1015","-6.1","U,1016","-6.7","U,1018","-8.9","U,1026","-0.6","U,0514","-5.6","U,0508","-5.6","U,0508","-8.3","U,0410","-10.0","U,0409","    5121.8","8","    5121.8","U","      3.75","U","      7.52","U","     -0.03","U"
