"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0047O01S","1987","63.31","-147.65","826.0","MONAHAN FLAT, AK US","","","","","       105","T","       105","T","         2","T","","","","","","","","","","","","","","","","","  30.5"," ,T,0730, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    531.9"," ,T","","","","","",""
"USS0047O01S","1988","63.31","-147.65","826.0","MONAHAN FLAT, AK US","","","","","       114","T","       114","T","         0","T","","","","","","","","","","","","","","","","","  22.9"," ,T,1004, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    570.0"," ,T","","","","","",""
"USS0047O01S","1989","63.31","-147.65","826.0","MONAHAN FLAT, AK US","","","","","       118","T","       118","T","         0","T","","","","","","","","","","","","","","","","","  20.3"," ,T,0624, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    577.5"," ,T","","","","","",""
"USS0047O01S","1990","63.31","-147.65","826.0","MONAHAN FLAT, AK US","","","","","       133","T","       133","T","         4","T","","","","","","","","","","","","","","","","","  38.1"," ,T,0917, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    884.5"," ,T","","","","","",""
"USS0047O01S","1991","63.31","-147.65","826.0","MONAHAN FLAT, AK US","","","","","       126","T","       126","T","         1","T","","","","","","","","","","","","","","","","","  27.9"," ,T,1023, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    589.3"," ,T","","","","","",""
"USS0047O01S","1992","63.31","-147.65","826.0","MONAHAN FLAT, AK US","","","","","       106","T","       106","T","         0","T","","","","","","","","","","","","","","","","","  15.2"," ,T,0818, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    473.3"," ,T","","","","","",""
"USS0047O01S","1993","63.31","-147.65","826.0","MONAHAN FLAT, AK US","","","","","       104","T","       104","T","         0","T","","","","","","","","","","","","","","","","","  20.3"," ,T,0830, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    457.4"," ,T","","","","","",""
"USS0047O01S","1994","63.31","-147.65","826.0","MONAHAN FLAT, AK US","","","","","        99","T","        99","T","         2","T","","","","","","","","","","","","","","","","","  27.9"," ,T,0128, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    470.4"," ,T","","","","","",""
"USS0047O01S","2003","63.31","-147.65","826.0","MONAHAN FLAT, AK US","","","","","       113","T","       113","T","         6","T","","","","","","","","","","","","","","","","","  43.2"," ,T,0716, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    688.3"," ,T","","","","","",""
"USS0047O01S","2006","63.31","-147.65","826.0","MONAHAN FLAT, AK US","      0.0","","       0.0","T","       122","T","       122","T","         1","T","","","       130","T","       254","T","       168","T","         7","T","         0","T","  -39.9","T,0126, ","","","  25.4"," ,T,0818, ","   23.9","T,0727, ","-0.9","T,0820","-4.0","T,0924","-8.2","T,0929","-8.2","T,0929","-9.2","T,1014","-0.9","T,0622","-6.1","T,0604","-6.1","T,0604","-7.2","T,0509","-14.1","T,0430","    8363.6","6","    8363.6","T","    703.8"," ,T","     -5.42","T","     -0.15","T","    -10.69","T"
