"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000GPLA","2004","32.0097","-84.33","160.3","PLAINS SUMTER GEORGIA, GA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    1100.5","5","    1100.5"," ","","","","","",""
"USR0000GPLA","2005","32.0097","-84.33","160.3","PLAINS SUMTER GEORGIA, GA US","   1211.8","","    1211.8","U","         0","U","        25","U","         0","U","       245","U","        57","U","   -8.3","U,0124, ","   35.6","U,0821,+","-1.7","U,1118","-2.2","U,1210","","","","","","","-1.1","U,0304","-8.3","U,0124","-8.3","U,0124","-8.3","U,0124","","","","","","","     18.36","U","     24.13","U","     12.60","U"
"USR0000GPLA","2006","32.0097","-84.33","160.3","PLAINS SUMTER GEORGIA, GA US","   1291.1","","    1291.1","U","         0","U","        22","U","         0","U","       263","U","        88","U","   -6.7","U,1209, ","   37.2","U,0715, ","-0.6","U,1104","-2.8","U,1205","-5.6","U,1208","-6.7","U,1209","","","-2.2","U,0227","-2.2","U,0227","","","","","","","    1105.0","0","    1105.0","U","     18.98","U","     25.30","U","     12.65","U"
"USR0000GPLA","2007","32.0097","-84.33","160.3","PLAINS SUMTER GEORGIA, GA US","   1304.8","","    1304.8","U","         0","U","        26","U","         0","U","       271","U","        80","U","   -5.6","U,0217, ","   39.4","U,0811, ","-0.6","U,1108","-2.2","U,1218","","","","","","","-0.6","U,0408","-3.3","U,0219","-5.6","U,0217","","","","","    1085.3","3","    1085.3","U","     19.01","U","     25.30","U","     12.72","U"
"USR0000GPLA","2008","32.0097","-84.33","160.3","PLAINS SUMTER GEORGIA, GA US","   1233.9","","    1233.9","U","         0","U","        33","U","         0","U","       251","U","        69","U","   -7.2","U,0104, ","   37.8","U,0806, ","-1.1","U,1118","-2.8","U,1119","-5.0","U,1122","","","","","-0.6","U,0325","-3.9","U,0228","-4.4","U,0125","-7.2","U,0104","","","    1094.0","0","    1094.0","U","     18.44","U","     24.58","U","     12.30","U"
"USR0000GPLA","2009","32.0097","-84.33","160.3","PLAINS SUMTER GEORGIA, GA US","   1220.4","","    1220.4","U","         0","U","        34","U","         0","U","       243","U","        62","U","   -6.7","U,0205,+","   37.2","U,0701,+","0.0","U,1112","-2.2","U,1206","","","","","","","-1.1","U,0305","-3.3","U,0303","-6.7","U,0205","-6.7","U,0205","","","    1150.8","8","    1150.8","U","     18.37","U","     24.11","U","     12.63","U"
"USR0000GPLA","2010","32.0097","-84.33","160.3","PLAINS SUMTER GEORGIA, GA US","   1477.4","","    1477.4","U","         0","U","        61","U","         0","U","       242","U","       108","U","   -7.8","U,0111, ","   38.9","U,0730,+","0.0","U,1107","-2.2","U,1202","-4.4","U,1208","-7.2","U,1214","","","-1.7","U,0307","-2.2","U,0225","-5.0","U,0113","-7.8","U,0111","","","    1418.6","6","    1418.6","U","     18.29","U","     24.70","U","     11.88","U"
"USR0000GPLA","2011","32.0097","-84.33","160.3","PLAINS SUMTER GEORGIA, GA US","   1411.4","","    1411.4","U","         0","U","        26","U","         0","U","       253","U","       112","U","   -7.8","U,0114, ","   39.4","U,0603, ","-1.7","U,1112","-2.2","U,1201","","","","","","","-1.1","U,0213","-2.2","U,0209","-5.6","U,0123","-7.8","U,0114","","","    1255.8","8","    1255.8","U","     19.13","U","     25.69","U","     12.57","U"
"USR0000GPLA","2012","32.0097","-84.33","160.3","PLAINS SUMTER GEORGIA, GA US","   1330.7","","    1330.7","U","         0","U","        17","U","         0","U","       274","U","        72","U","   -6.1","U,0104, ","   41.1","U,0630, ","-1.7","U,1125","-2.2","U,1223","","","","","","","-5.6","U,0213","-5.6","U,0213","-5.6","U,0213","","","","","     853.0","0","     853.0","U","     19.57","U","     25.72","U","     13.41","U"
"USR0000GPLA","2013","32.0097","-84.33","160.3","PLAINS SUMTER GEORGIA, GA US","   1130.0","","    1130.0","U","         0","U","        26","U","         0","U","       248","U","        47","U","   -3.9","U,1128, ","   35.0","U,0612, ","-0.6","U,1113","-3.3","U,1114","","","","","","","0.0","U,0327","-2.8","U,0304","","","","","","","    1088.7","7","    1088.7","U","     18.32","U","     23.94","U","     12.69","U"
