"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1KSKM0002","2008","37.72091","-98.31934","527.0","PENALOSA 0.4 N, KS US","        84","N","        48","N","        11","N","         4","N","    46"," ,N,0206, ","  61.5"," ,N,1015, ","    809.1"," ,N","      157"," ,N"
"US1KSKM0002","2009","37.72091","-98.31934","527.0","PENALOSA 0.4 N, KS US","        93","N","        60","N","        10","N","","","","","  50.5"," ,N,0427, ","    754.8"," ,N","",""
"US1KSKM0002","2010","37.72091","-98.31934","527.0","PENALOSA 0.4 N, KS US","        71","N","        49","N","         8","N","","","",""," 177.0"," ,N,0705, ","   1044.5"," ,N","",""
"US1KSKM0002","2011","37.72091","-98.31934","527.0","PENALOSA 0.4 N, KS US","        72","N","        36","N","         6","N","","","","","  44.2"," ,N,1220, ","    540.8"," ,N","",""
"US1KSKM0002","2012","37.72091","-98.31934","527.0","PENALOSA 0.4 N, KS US","        55","N","        33","N","         5","N","","","","","  61.0"," ,N,0825, ","    443.7"," ,N","",""
"US1KSKM0002","2013","37.72091","-98.31934","527.0","PENALOSA 0.4 N, KS US","        95","N","        61","N","        11","N","","","","","  97.5"," ,N,0530, ","   1000.3"," ,N","",""
"US1KSKM0002","2014","37.72091","-98.31934","527.0","PENALOSA 0.4 N, KS US","        83","N","        41","N","         9","N","","","",""," 100.8"," ,N,0710, ","    728.0"," ,N","",""
"US1KSKM0002","2015","37.72091","-98.31934","527.0","PENALOSA 0.4 N, KS US","        92","N","        52","N","        10","N","","","","","  45.2"," ,N,0615, ","    767.2"," ,N","",""
"US1KSKM0002","2016","37.72091","-98.31934","527.0","PENALOSA 0.4 N, KS US","        82","N","        49","N","        12","N","","","",""," 120.1"," ,N,0525, ","    877.8"," ,N","",""
"US1KSKM0002","2017","37.72091","-98.31934","527.0","PENALOSA 0.4 N, KS US","        78","N","        41","N","        11","N","","","","","  82.6"," ,N,0926, ","    836.2"," ,N","",""
"US1KSKM0002","2018","37.72091","-98.31934","527.0","PENALOSA 0.4 N, KS US","        88","N","        46","N","        14","N","","","",""," 101.9"," ,N,0903, ","   1089.2"," ,N","",""
"US1KSKM0002","2019","37.72091","-98.31934","527.0","PENALOSA 0.4 N, KS US","        86","N","        47","N","         7","N","","","",""," 106.7"," ,N,0508, ","    796.9"," ,N","",""
"US1KSKM0002","2020","37.72091","-98.31934","527.0","PENALOSA 0.4 N, KS US","        93","N","        57","N","         6","N","","","","","  50.0"," ,N,0512, ","    743.8"," ,N","",""
"US1KSKM0002","2021","37.72091","-98.31934","527.0","PENALOSA 0.4 N, KS US","        75","N","        48","N","         7","N","","","","","  78.0"," ,N,0531, ","    666.8"," ,N","",""
"US1KSKM0002","2022","37.72091","-98.31934","527.0","PENALOSA 0.4 N, KS US","        70","N","        39","N","         6","N","","","","","  34.0"," ,N,0526, ","    468.0"," ,N","",""
"US1KSKM0002","2023","37.72091","-98.31934","527.0","PENALOSA 0.4 N, KS US","        77","N","        50","N","         8","N","","","","","  55.4"," ,N,0705, ","    752.5"," ,N","",""
"US1KSKM0002","2024","37.72091","-98.31934","527.0","PENALOSA 0.4 N, KS US","        77","N","        49","N","         5","N","","","","","  72.4"," ,N,1102, ","    694.2"," ,N","",""
