"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1PABR0002","2006","40.316251","-75.988661","97.5","READING 3.5 SW, PA US","       125","N","        80","N","        15","N","","","         1","N","","","   284"," ,N,0212, ","  98.0"," ,N,0929, ","   1477.7"," ,N","      327"," ,N"
"US1PABR0002","2007","40.316251","-75.988661","97.5","READING 3.5 SW, PA US","       143","N","        84","N","        20","N","","","         8","N","","","   160"," ,N,0317, ","  74.2"," ,N,0706, ","   1468.4"," ,N","      610"," ,N"
"US1PABR0002","2008","40.316251","-75.988661","97.5","READING 3.5 SW, PA US","       135","N","        79","N","        15","N","","","         4","N","","","    79"," ,N,1217, ","  77.2"," ,N,0907, ","   1299.0"," ,N","      293"," ,N"
"US1PABR0002","2009","40.316251","-75.988661","97.5","READING 3.5 SW, PA US","       149","N","        97","N","        11","N","       21","","         7","N","   165"," ,N,1220, ","   165"," ,N,1220, ","  42.2"," ,N,0712, ","   1289.4"," ,N","      621"," ,N"
"US1PABR0002","2010","40.316251","-75.988661","97.5","READING 3.5 SW, PA US","       117","N","        77","N","         8","N","       31","","         8","N","   584"," ,N,0211, ","   384"," ,N,0206, "," 134.1"," ,N,1001, ","   1202.4"," ,N","     1206"," ,N"
"US1PABR0002","2011","40.316251","-75.988661","97.5","READING 3.5 SW, PA US","       154","N","       101","N","        19","N","       45","","         7","N","   279"," ,N,0127, ","   224"," ,N,0127, ","  92.2"," ,N,0828, ","   1597.8"," ,N","      748"," ,N"
"US1PABR0002","2012","40.316251","-75.988661","97.5","READING 3.5 SW, PA US","       141","N","        78","N","        11","N","        6","","         4","N","   102"," ,N,0121, ","   102"," ,N,0121, ","  81.5"," ,N,1030, ","   1112.7"," ,N","      321"," ,N"
"US1PABR0002","2013","40.316251","-75.988661","97.5","READING 3.5 SW, PA US","       136","N","        85","N","        15","N","       15","","         9","N","   127"," ,N,1219,+","    86"," ,N,1215, ","  72.4"," ,N,0723, ","   1364.5"," ,N","      509"," ,N"
"US1PABR0002","2014","40.316251","-75.988661","97.5","READING 3.5 SW, PA US","       139","N","        95","N","        15","N","       55","","        11","N","   457"," ,N,0214, ","   279"," ,N,0214, ","  78.7"," ,N,1016, ","   1336.3"," ,N","     1207"," ,N"
"US1PABR0002","2015","40.316251","-75.988661","97.5","READING 3.5 SW, PA US","       129","N","        77","N","        11","N","       56","","        12","N","   279"," ,N,0306, ","   168"," ,N,0306, ","  57.9"," ,N,0601, ","   1152.1"," ,N","      906"," ,N"
"US1PABR0002","2016","40.316251","-75.988661","97.5","READING 3.5 SW, PA US","       136","N","        73","N","        16","N","       19","","         4","N","   610"," ,N,0124, ","   381"," ,N,0124, ","  55.4"," ,N,0930, ","   1043.5"," ,N","      932"," ,N"
"US1PABR0002","2017","40.316251","-75.988661","97.5","READING 3.5 SW, PA US","       151","N","        88","N","        18","N","       21","","         8","N","   279"," ,N,0315, ","   229"," ,N,0314, ","  60.7"," ,N,0819, ","   1377.7"," ,N","      810"," ,N"
"US1PABR0002","2018","40.316251","-75.988661","97.5","READING 3.5 SW, PA US","       170","N","       119","N","        22","N","       21","","         8","N","   254"," ,N,0322, ","   231"," ,N,0322, "," 113.5"," ,N,0901, ","   2023.2"," ,N","      916"," ,N"
"US1PABR0002","2019","40.316251","-75.988661","97.5","READING 3.5 SW, PA US","       152","N","       103","N","        18","N","       22","","         8","N","   152"," ,N,0304, ","   137"," ,N,0304, "," 116.8"," ,N,0620, ","   1691.6"," ,N","      621"," ,N"
"US1PABR0002","2020","40.316251","-75.988661","97.5","READING 3.5 SW, PA US","       145","N","        81","N","        15","N","       11","","         3","N","   203"," ,N,1217, ","   221"," ,N,1217, ","  87.6"," ,N,0805, ","   1362.2"," ,N","      326"," ,N"
"US1PABR0002","2021","40.316251","-75.988661","97.5","READING 3.5 SW, PA US","       140","N","        76","N","        14","N","       29","","         7","N","   406"," ,N,0202, ","   333"," ,N,0202, "," 128.0"," ,N,0902, ","   1293.0"," ,N","      839"," ,N"
"US1PABR0002","2022","40.316251","-75.988661","97.5","READING 3.5 SW, PA US","       136","N","        85","N","        14","N","       12","","         5","N","   114"," ,N,0213, ","   117"," ,N,0213, ","  48.0"," ,N,0906, ","   1209.1"," ,N","      476"," ,N"
"US1PABR0002","2023","40.316251","-75.988661","97.5","READING 3.5 SW, PA US","       129","N","        74","N","        19","N","        0","","         1","N","     0","T,N,1219,+","    74"," ,N,0126, "," 111.3"," ,N,0710, ","   1382.1"," ,N","      101"," ,N"
"US1PABR0002","2024","40.316251","-75.988661","97.5","READING 3.5 SW, PA US","       138","N","        81","N","        10","N","       18","","         7","N","   140"," ,N,0120, ","    86"," ,N,0214, ","  90.7"," ,N,0807, ","   1176.2"," ,N","      475"," ,N"
