"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0011H25S","1979","41.41","-111.83","1994.6","LITTLE BEAR, UT US","","","","","        68","T","        68","T","         7","T","","","","","","","","","","","","","","","","","  33.0"," ,T,1018, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    700.5"," ,T","","","","","",""
"USS0011H25S","1980","41.41","-111.83","1994.6","LITTLE BEAR, UT US","","","","","       106","T","       106","T","        10","T","","","","","","","","","","","","","","","","","  55.9"," ,T,0113, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1004.7"," ,T","","","","","",""
"USS0011H25S","1981","41.41","-111.83","1994.6","LITTLE BEAR, UT US","","","","","        79","T","        79","T","         8","T","","","","","","","","","","","","","","","","","  68.6"," ,T,1229, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    860.4"," ,T","","","","","",""
"USS0011H25S","1982","41.41","-111.83","1994.6","LITTLE BEAR, UT US","","","","","        93","T","        93","T","        12","T","","","","","","","","","","","","","","","","","  66.0"," ,T,0926, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1154.9"," ,T","","","","","",""
"USS0011H25S","1983","41.41","-111.83","1994.6","LITTLE BEAR, UT US","","","","","       118","T","       118","T","        16","T","","","","","","","","","","","","","","","","","  55.9"," ,T,1203,+","","","","","","","","","","","","","","","","","","","","","","","","","","","   1459.9"," ,T","","","","","",""
"USS0011H25S","1984","41.41","-111.83","1994.6","LITTLE BEAR, UT US","","","","","       123","T","       123","T","         7","T","","","","","","","","","","","","","","","","","  68.6"," ,T,1108, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1007.1"," ,T","","","","","",""
"USS0011H25S","1985","41.41","-111.83","1994.6","LITTLE BEAR, UT US","","","","","       113","T","       113","T","         6","T","","","","","","","","","","","","","","","","","  58.4"," ,T,0913, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    999.7"," ,T","","","","","",""
"USS0011H25S","1987","41.41","-111.83","1994.6","LITTLE BEAR, UT US","","","","","       108","T","       108","T","         1","T","","","","","","","","","","","","","","","","","  27.9"," ,T,0517, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    758.4"," ,T","","","","","",""
"USS0011H25S","1988","41.41","-111.83","1994.6","LITTLE BEAR, UT US","","","","","        97","T","        97","T","         3","T","","","","","","","","","","","","","","","","","  38.1"," ,T,1117, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    712.4"," ,T","","","","","",""
"USS0011H25S","1989","41.41","-111.83","1994.6","LITTLE BEAR, UT US","","","","","        96","T","        96","T","         2","T","","","","","","","","","","","","","","","","","  33.0"," ,T,1124, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    638.9"," ,T","","","","","",""
"USS0011H25S","1990","41.41","-111.83","1994.6","LITTLE BEAR, UT US","","","","","       107","T","       107","T","         1","T","","","","","","","","","","","","","","","","","  27.9"," ,T,1120, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    758.1"," ,T","","","","","",""
"USS0011H25S","1991","41.41","-111.83","1994.6","LITTLE BEAR, UT US","","","","","       123","T","       123","T","         2","T","","","","","","","","","","","","","","","","","  35.6"," ,T,1026, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    801.0"," ,T","","","","","",""
"USS0011H25S","1992","41.41","-111.83","1994.6","LITTLE BEAR, UT US","","","","","        94","T","        94","T","         5","T","","","","","","","","","","","","","","","","","  78.7"," ,T,1029, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    671.0"," ,T","","","","","",""
"USS0011H25S","1993","41.41","-111.83","1994.6","LITTLE BEAR, UT US","","","","","       122","T","       122","T","         6","T","","","","","","","","","","","","","","","","","  43.2"," ,T,0317, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    950.7"," ,T","","","","","",""
"USS0011H25S","1994","41.41","-111.83","1994.6","LITTLE BEAR, UT US","","","","","       112","T","       112","T","         5","T","","","","","","","","","","","","","","","","","  58.4"," ,T,0207, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    809.0"," ,T","","","","","",""
"USS0011H25S","1995","41.41","-111.83","1994.6","LITTLE BEAR, UT US","","","","","       128","T","       128","T","         5","T","","","","","","","","","","","","","","","","","  45.7"," ,T,0311, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    943.2"," ,T","","","","","",""
"USS0011H25S","1996","41.41","-111.83","1994.6","LITTLE BEAR, UT US","","","","","       128","T","       128","T","        12","T","","","","","","","","","","","","","","","","","  58.4"," ,T,1226, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1192.3"," ,T","","","","","",""
"USS0011H25S","1997","41.41","-111.83","1994.6","LITTLE BEAR, UT US","","","","","       133","T","       133","T","         3","T","","","","","","","","","","","","","","","","","  35.6"," ,T,0122, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    953.2"," ,T","","","","","",""
"USS0011H25S","1998","41.41","-111.83","1994.6","LITTLE BEAR, UT US","","","","","       140","T","       140","T","        13","T","","","","","","","","","","","","","","","","","  53.3"," ,T,0111, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1237.9"," ,T","","","","","",""
"USS0011H25S","1999","41.41","-111.83","1994.6","LITTLE BEAR, UT US","","","","","        96","T","        96","T","         2","T","","","","","","","","","","","","","","","","","  30.5"," ,T,0207, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    756.2"," ,T","","","","","",""
"USS0011H25S","2000","41.41","-111.83","1994.6","LITTLE BEAR, UT US","","","","","        93","T","        93","T","         6","T","","","","","","","","","","","","","","","","","  35.6"," ,T,0830, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    781.1"," ,T","","","","","",""
"USS0011H25S","2001","41.41","-111.83","1994.6","LITTLE BEAR, UT US","","","","","        99","T","        99","T","         6","T","","","","","","","","","","","","","","","","","  48.3"," ,T,1206, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    784.0"," ,T","","","","","",""
"USS0011H25S","2002","41.41","-111.83","1994.6","LITTLE BEAR, UT US","","","","","        94","T","        94","T","         4","T","","","","","","","","","","","","","","","","","  45.7"," ,T,1108, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    605.9"," ,T","","","","","",""
"USS0011H25S","2003","41.41","-111.83","1994.6","LITTLE BEAR, UT US","","","","","       107","T","       107","T","         2","T","","","","","","","","","","","","","","","","","  27.9"," ,T,1226, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    691.9"," ,T","","","","","",""
"USS0011H25S","2004","41.41","-111.83","1994.6","LITTLE BEAR, UT US","","","","","       103","T","       103","T","         6","T","","","","","","","","","","","","","","","","","  63.5"," ,T,1020, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    857.1"," ,T","","","","","",""
"USS0011H25S","2005","41.41","-111.83","1994.6","LITTLE BEAR, UT US","","","","","       125","T","       125","T","         7","T","      165","","","","","","","","","","","","","","  1321"," ,T,0220, ","  53.3"," ,T,1231, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1049.3"," ,T","","","","","",""
"USS0011H25S","2006","41.41","-111.83","1994.6","LITTLE BEAR, UT US","    174.2","","     174.2","T","       108","T","       108","T","         6","T","      167","","         2","T","       180","T","        40","T","       114","T","         7","T","  -19.4","T,0218, ","  1245"," ,T,0215, ","  40.6"," ,T,0915, ","   33.7","T,0728,+","-1.1","T,0916","-3.0","T,0918","-4.8","T,1018","-8.5","T,1101","-10.7","T,1115","-1.5","T,0529","-4.0","T,0420","-7.6","T,0419","-7.6","T,0419","-9.2","T,0316","","","","","    933.7"," ,T","      7.06","T","     13.32","T","      0.81","T"
