"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"CA006057591","2014","46.4833","-84.5167","192.0","SAULT STE MARIE A, ON CA","     26.2","","      26.2","C","       194","C","        99","C","         7","C","        57","C","        58","C","       182","C","       108","C","        73","C","         0","C","  -34.4","C,0228, ","   610"," ,C,1113, ","  58.5"," ,C,1014, ","   29.0","C,0925,+","-0.2","C,0918","-2.7","C,1012","-4.4","C,1022","-7.4","C,1101","-9.3","C,1114","-0.2","C,0517","-4.1","C,0427","-4.7","C,0423","-16.1","C,0416","-16.1","C,0416","","","","","   1190.4"," ,C","     6214"," ,C","      2.59","C","      8.08","C","     -2.90","C","","","",""
"CA006057591","2015","46.4833","-84.5167","192.0","SAULT STE MARIE A, ON CA","     82.8","","      82.8","C","       159","C","        83","C","         3","C","        35","C","        49","C","       165","C","        80","C","        92","C","         0","C","  -35.7","C,0220, ","   150"," ,C,0109, ","  44.6"," ,C,1214, ","   32.0","C,0728, ","-1.5","C,1010","-4.8","C,1017","-4.8","C,1017","-13.5","C,1122","-13.5","C,1122","-5.0","C,0523","-5.0","C,0523","-5.0","C,0523","-6.7","C,0424","-9.8","C,0405","    5642.9","9","    5642.9","C","    831.4"," ,C","     2725"," ,C","      4.27","C","     10.00","C","     -1.47","C","","","",""
"CA006057591","2016","46.4833","-84.5167","192.0","SAULT STE MARIE A, ON CA","    102.6","","     102.6","C","       176","C","       101","C","         6","C","","","        17","C","       171","C","        72","C","       108","C","         0","C","  -27.1","C,0213, ","","","  49.4"," ,C,0820, ","   30.8","C,0804, ","-2.0","C,1009","-2.2","C,1013","-5.1","C,1119","-12.5","C,1122","-12.5","C,1122","-1.8","C,0519","-4.8","C,0516","-4.8","C,0516","-9.2","C,0410","-9.2","C,0410","    4531.9","9","    4531.9","C","   1026.7"," ,C","","","      6.01","C","     11.39","C","      0.62","C","        32","C","      89.0","C"
"CA006057591","2017","46.4833","-84.5167","192.0","SAULT STE MARIE A, ON CA","     50.8","","      50.8","C","       202","C","       110","C","         8","C","        47","C","        18","C","       159","C","        72","C","        82","C","         0","C","  -32.8","C,1228, ","   186"," ,C,1208, ","  53.4"," ,C,0817, ","   31.5","C,0923, ","-1.4","C,0930","-3.3","C,1016","-15.1","C,1109","-15.1","C,1109","-15.1","C,1109","-0.5","C,0602","-5.4","C,0509","-5.4","C,0509","-12.9","C,0323","-12.9","C,0323","    4269.3","3","    4269.3","C","   1132.0"," ,C","     4097"," ,C","      5.33","C","     10.37","C","      0.28","C","        23","C","      89.0","C"
"CA006057591","2018","46.4833","-84.5167","192.0","SAULT STE MARIE A, ON CA","    130.7","","     130.7","C","       159","C","        80","C","         4","C","        37","C","        32","C","       198","C","       101","C","       105","C","         2","C","  -32.4","C,0106, ","   242"," ,C,1113, ","  75.8"," ,C,1010, ","   33.0","C,0704, ","-2.2","C,0929","-2.2","C,0929","-6.0","C,1022","-8.1","C,1111","-10.0","C,1113","-1.1","C,0521","-2.8","C,0513","-4.4","C,0430","-6.8","C,0421","-14.8","C,0410","    5205.9","9","    5205.9","C","    894.8"," ,C","     3189"," ,C","      4.27","C","      9.99","C","     -1.46","C","","","",""
"CA006057591","2019","46.4833","-84.5167","192.0","SAULT STE MARIE A, ON CA","     49.5","","      49.5","C","       185","C","        99","C","         5","C","        46","C","        40","C","       188","C","        91","C","        85","C","         0","C","  -32.6","C,0128, ","   340"," ,C,0107, ","  68.8"," ,C,0930, ","   30.9","C,0719, ","-1.7","C,1004","-2.7","C,1005","-4.8","C,1106","-11.2","C,1107","-11.2","C,1107","-0.1","C,0531","-3.3","C,0511","-4.9","C,0508","-10.6","C,0404","-10.6","C,0404","    5369.0","0","    5369.0","C","   1152.3"," ,C","     4211"," ,C","      3.45","C","      8.91","C","     -2.01","C","","","",""
"CA006057591","2020","46.4833","-84.5167","192.0","SAULT STE MARIE A, ON CA","    104.7","","     104.7","C","       157","C","        81","C","         8","C","","","        13","C","       189","C","        69","C","        85","C","         0","C","  -27.6","C,0220, ","","","  86.6"," ,C,0623, ","   32.1","C,0709, ","-0.6","C,0918","-2.2","C,0919","-7.2","C,1029","-7.2","C,1029","-8.9","C,1201","-1.6","C,0531","-6.9","C,0513","-6.9","C,0513","-6.9","C,0513","-16.2","C,0322","    4948.6","6","    4948.6","C","    994.8"," ,C","","","      5.34","C","     10.56","C","      0.13","C","","","",""
"CA006057591","2021","46.4833","-84.5167","192.0","SAULT STE MARIE A, ON CA","    113.5","","     113.5","C","       159","C","        89","C","         5","C","        38","C","        17","C","       172","C","        63","C","        97","C","         0","C","  -27.2","C,0210, ","   174"," ,C,1211, ","  35.6"," ,C,0829, ","   31.7","C,0608, ","-1.0","C,1018","-3.5","C,1021","-4.5","C,1102","-10.8","C,1126","-10.8","C,1126","-2.2","C,0530","-2.2","C,0530","-5.0","C,0509","-11.2","C,0402","-11.2","C,0402","    4563.7","7","    4563.7","C","    882.1"," ,C","     3070"," ,C","      6.21","C","     11.61","C","      0.82","C","","","",""
"CA006057591","2022","46.4833","-84.5167","192.0","SAULT STE MARIE A, ON CA","","","","","       164","C","        98","C","         3","C","        44","C","","","","","","","","","","","","","   340"," ,C,1224, ","  44.3"," ,C,0406, ","","","","","","","","","","","","","","","","","","","","","","","    4793.2","2","    4793.2","C","    933.9"," ,C","     3657"," ,C","","","","","","","","","",""
"CA006057591","2023","46.4833","-84.5167","192.0","SAULT STE MARIE A, ON CA","     56.6","","      56.6","C","       138","C","        79","C","         2","C","        30","C","         7","C","       162","C","        60","C","        92","C","         0","C","  -25.6","C,0203, ","   346"," ,C,0401, ","  31.3"," ,C,0817, ","   31.9","C,0601, ","-1.5","C,1012","-2.4","C,1017","-5.7","C,1031","-9.8","C,1127","-9.8","C,1127","-0.1","C,0527","-2.7","C,0525","-8.7","C,0408","-8.7","C,0408","-14.1","C,0402","","","","","    754.0"," ,C","     2621"," ,C","      5.99","C","     11.39","C","      0.59","C","","","",""
