"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1MOPS0002","2007","38.62469","-93.41113","276.1","GREEN RIDGE 0.3 NNW, MO US","       116","N","        71","N","         9","N","         9","N","   152"," ,N,0121, ","  54.4"," ,N,1018, ","    972.3"," ,N","      495"," ,N"
"US1MOPS0002","2008","38.62469","-93.41113","276.1","GREEN RIDGE 0.3 NNW, MO US","       118","N","        77","N","        20","N","         2","N","    38"," ,N,0224,+"," 106.9"," ,N,0904, ","   1407.2"," ,N","      171"," ,N"
"US1MOPS0002","2009","38.62469","-93.41113","276.1","GREEN RIDGE 0.3 NNW, MO US","       126","N","        78","N","        17","N","","","","","  76.7"," ,N,0616, ","   1357.4"," ,N","",""
"US1MOPS0002","2010","38.62469","-93.41113","276.1","GREEN RIDGE 0.3 NNW, MO US","       112","N","        75","N","        15","N","","","","","  91.7"," ,N,0901, ","   1292.5"," ,N","",""
"US1MOPS0002","2011","38.62469","-93.41113","276.1","GREEN RIDGE 0.3 NNW, MO US","       119","N","        73","N","        12","N","","","","","  65.0"," ,N,1108, ","   1045.1"," ,N","",""
"US1MOPS0002","2012","38.62469","-93.41113","276.1","GREEN RIDGE 0.3 NNW, MO US","        88","N","        56","N","         9","N","","","","","  65.5"," ,N,0430, ","    832.5"," ,N","",""
"US1MOPS0002","2013","38.62469","-93.41113","276.1","GREEN RIDGE 0.3 NNW, MO US","        98","N","        70","N","        16","N","","","","","  61.2"," ,N,0807,+","   1128.8"," ,N","",""
"US1MOPS0002","2014","38.62469","-93.41113","276.1","GREEN RIDGE 0.3 NNW, MO US","       108","N","        67","N","        11","N","","","","","  73.9"," ,N,1002, ","   1080.5"," ,N","",""
"US1MOPS0002","2015","38.62469","-93.41113","276.1","GREEN RIDGE 0.3 NNW, MO US","       115","N","        75","N","        18","N","","","","","  65.8"," ,N,1127, ","   1228.5"," ,N","",""
"US1MOPS0002","2016","38.62469","-93.41113","276.1","GREEN RIDGE 0.3 NNW, MO US","        99","N","        57","N","         8","N","","","",""," 143.8"," ,N,0801, ","   1008.0"," ,N","",""
"US1MOPS0002","2017","38.62469","-93.41113","276.1","GREEN RIDGE 0.3 NNW, MO US","        92","N","        63","N","        11","N","","","",""," 104.6"," ,N,0806, ","   1164.7"," ,N","",""
"US1MOPS0002","2018","38.62469","-93.41113","276.1","GREEN RIDGE 0.3 NNW, MO US","       118","N","        66","N","        10","N","","","","","  61.5"," ,N,0627, ","    975.1"," ,N","",""
"US1MOPS0002","2019","38.62469","-93.41113","276.1","GREEN RIDGE 0.3 NNW, MO US","       115","N","        83","N","        15","N","","","","","  81.8"," ,N,0929, ","   1339.6"," ,N","",""
"US1MOPS0002","2020","38.62469","-93.41113","276.1","GREEN RIDGE 0.3 NNW, MO US","       104","N","        75","N","        11","N","","","","","  59.7"," ,N,0901, ","   1106.8"," ,N","",""
"US1MOPS0002","2021","38.62469","-93.41113","276.1","GREEN RIDGE 0.3 NNW, MO US","       108","N","        70","N","        10","N","","","","","  86.4"," ,N,0626, ","   1182.3"," ,N","",""
"US1MOPS0002","2022","38.62469","-93.41113","276.1","GREEN RIDGE 0.3 NNW, MO US","        84","N","        63","N","         9","N","","","",""," 107.2"," ,N,0601, ","   1007.9"," ,N","",""
"US1MOPS0002","2023","38.62469","-93.41113","276.1","GREEN RIDGE 0.3 NNW, MO US","       100","N","        57","N","         3","N","","","","","  36.3"," ,N,1201, ","    614.5"," ,N","",""
"US1MOPS0002","2024","38.62469","-93.41113","276.1","GREEN RIDGE 0.3 NNW, MO US","        86","N","        61","N","        14","N","","","",""," 101.1"," ,N,0428, ","   1061.8"," ,N","",""
