"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000MMOR","2004","45.89","-93.2697","308.5","MORA MINNESOTA, MN US","    140.0","","     140.0","U","        32","U","       175","U","        71","U","        98","U","         3","U","  -33.3","U,0130, ","   34.4","U,0721, ","0.0","U,0929","-2.2","U,1005","-7.2","U,1111","-7.2","U,1111","-8.9","U,1112","-3.3","U,0515","-3.3","U,0515","-6.7","U,0413","-6.7","U,0413","-13.3","U,0322","    4752.5","5","    4752.5","U","      5.61","U","     11.29","U","     -0.08","U"
"USR0000MMOR","2006","45.89","-93.2697","308.5","MORA MINNESOTA, MN US","    278.7","","     278.7","U","        20","U","       174","U","        57","U","       127","U","        13","U","  -28.3","U,0218, ","   38.3","U,0715, ","0.0","U,0921","-3.3","U,1010","-6.1","U,1012","-7.2","U,1015","-11.1","U,1103","-0.6","U,0522","-2.2","U,0425","-4.4","U,0409","-6.7","U,0319","-10.6","U,0318","    4170.3","3","    4170.3","U","      7.31","U","     13.17","U","      1.45","U"
"USR0000MMOR","2007","45.89","-93.2697","308.5","MORA MINNESOTA, MN US","    274.1","","     274.1","U","        39","U","       163","U","        91","U","       130","U","        10","U","  -31.7","U,0205, ","   35.0","U,0726, ","-0.6","U,0912","-4.4","U,0915","-4.4","U,0915","-10.6","U,1122","-10.6","U,1122","0.0","U,0517","-2.2","U,0416","-5.0","U,0414","-11.7","U,0409","-11.7","U,0409","    4463.0","0","    4463.0","U","      6.16","U","     12.00","U","      0.31","U"
"USR0000MMOR","2008","45.89","-93.2697","308.5","MORA MINNESOTA, MN US","    154.6","","     154.6","U","        59","U","       173","U","        97","U","       105","U","         0","U","  -31.7","U,0221, ","   31.7","U,0818,+","-0.6","U,1003","-2.8","U,1020","-4.4","U,1021","-7.2","U,1110","-8.9","U,1117","0.0","U,0430","-4.4","U,0429","-4.4","U,0429","-8.3","U,0414","-9.4","U,0328","    5050.2","2","    5050.2","U","      4.52","U","     10.42","U","     -1.37","U"
"USR0000MMOR","2009","45.89","-93.2697","308.5","MORA MINNESOTA, MN US","    127.2","","     127.2","U","        53","U","       149","U","        82","U","       113","U","         3","U","  -38.9","U,0116, ","   33.9","U,0623, ","-1.7","U,0930","-3.3","U,1009","-4.4","U,1010","-7.2","U,1116","-10.0","U,1204","0.0","U,0511","-2.2","U,0428","-6.1","U,0320","-8.9","U,0319","-8.9","U,0319","    4936.5","5","    4936.5","U","      5.14","U","     10.94","U","     -0.66","U"
"USR0000MMOR","2010","45.89","-93.2697","308.5","MORA MINNESOTA, MN US","    276.7","","     276.7","U","        34","U","       149","U","        75","U","       118","U","         3","U","  -32.2","U,0103,+","   33.9","U,0524, ","0.0","U,1002","-2.8","U,1022","-4.4","U,1029","-7.2","U,1119","-10.6","U,1120","-3.3","U,0509","-3.3","U,0509","-5.6","U,0409","-8.3","U,0325","-10.0","U,0306","    4476.6","6","    4476.6","U","      6.73","U","     12.66","U","      0.81","U"
"USR0000MMOR","2011","45.89","-93.2697","308.5","MORA MINNESOTA, MN US","    282.1","","     282.1","U","        37","U","       175","U","        73","U","       120","U","         9","U","  -34.4","U,0121, ","   37.2","U,0607, ","-0.6","U,0914","-2.2","U,0915","-4.4","U,1021","-6.7","U,1104","-9.4","U,1117","-2.2","U,0504","-2.2","U,0504","-4.4","U,0421","-12.8","U,0330","-12.8","U,0330","    4596.1","1","    4596.1","U","      6.15","U","     12.07","U","      0.24","U"
"USR0000MMOR","2013","45.89","-93.2697","308.5","MORA MINNESOTA, MN US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    4922.4","4","    4922.4","U","","","","","",""
"USR0000MMOR","2014","45.89","-93.2697","308.5","MORA MINNESOTA, MN US","    184.2","","     184.2","U","        58","U","       175","U","       102","U","       116","U","         1","U","  -33.3","U,0211, ","   32.2","U,0721, ","0.0","U,0913","-2.2","U,1009","-4.4","U,1011","-7.2","U,1031","-8.9","U,1101","0.0","U,0504","-7.8","U,0418","-7.8","U,0418","-7.8","U,0418","-8.9","U,0415","","","","","      4.08","U","      9.80","U","     -1.64","U"
"USR0000MMOR","2015","45.89","-93.2697","308.5","MORA MINNESOTA, MN US","    246.4","","     246.4","U","        32","U","       149","U","        71","U","       126","U","         1","U","  -32.2","U,0219, ","   32.8","U,0814, ","0.0","U,0930","-2.8","U,1017","-6.7","U,1120","-6.7","U,1120","-10.6","U,1121","-0.6","U,0520","-3.3","U,0427","-5.0","U,0423","-10.0","U,0328","-10.0","U,0328","    4597.6","6","    4597.6","U","      7.10","U","     12.74","U","      1.45","U"
