"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"USC00361198","1945","40.25","-76.91667","139.9","CAMP HILL, PA US","","","","","","","","","","","        99","6","        45","6","         0","6","","","","","","","","","","","   26.7","6,0702, ","","","","","      7.67","6"
"USC00361198","1946","40.25","-76.91667","139.9","CAMP HILL, PA US","        94","6","        67","6","        10","6","","","         3","6","        76","6","        24","6","         0","6","","","","","","","   267"," ,6,0220, ","  53.3"," ,6,0602, ","   26.1","6,0720, ","    945.5"," ,6","      422"," ,6","      8.59","6"
"USC00361198","1947","40.25","-76.91667","139.9","CAMP HILL, PA US","        90","6","        72","6","        12","6","","","","","       101","6","        47","6","         0","6","","","","","","","","","  53.1"," ,6,0608, ","   24.4","6,0630, ","   1038.4"," ,6","","","      8.19","6"
"USC00361198","1948","40.25","-76.91667","139.9","CAMP HILL, PA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1073.0"," ,0","","","",""
"USC00361198","1949","40.25","-76.91667","139.9","CAMP HILL, PA US","","","","","","","","","         5","0","","","","","","","         6"," ","        10"," ","","","   152"," ,0,0131, ","","","","","    935.8"," ,0","      507"," ,0","",""
"USC00361198","1950","40.25","-76.91667","139.9","CAMP HILL, PA US","","","","","","","       26","","         7","0","","","","","","","        52"," ","        17"," ","   254"," ,0,0210, ","   102"," ,0,0201, ","","","","","    998.6"," ,0","      448"," ,0","",""
"USC00361198","1951","40.25","-76.91667","139.9","CAMP HILL, PA US","       102","0","        70","0","        11","0","","","         5","0","","","","","","","        18"," ","        21"," ","","","   229"," ,0,1218, ","  82.0"," ,0,0902, ","","","   1034.3"," ,0","      554"," ,0","",""
"USC00361198","1952","40.25","-76.91667","139.9","CAMP HILL, PA US","       102","0","        73","0","        11","0","","","         8","0","","","","","","","        26"," ","        28"," ","","","   152"," ,0,0301, "," 101.1"," ,0,0901, ","","","   1124.9"," ,0","      593"," ,0","",""
"USC00361198","1953","40.25","-76.91667","139.9","CAMP HILL, PA US","       100","0","        73","0","         6","0","        8","","         6","0","","","","","","","        45"," ","        20"," ","   203"," ,0,1108, ","   394"," ,0,1107, ","  70.6"," ,0,0526, ","","","    977.3"," ,0","      760"," ,0","",""
"USC00361198","1954","40.25","-76.91667","139.9","CAMP HILL, PA US","       109","0","        75","0","         4","0","       14","","         4","0","","","","","","","        19"," ","        15"," ","   178"," ,0,0114,+","   178"," ,0,0111, ","  34.0"," ,0,0831, ","","","    831.4"," ,0","      292"," ,0","",""
"USC00361198","1955","40.25","-76.91667","139.9","CAMP HILL, PA US","        93","0","        62","0","        11","0","       15","","         8","0","","","","","","","         7"," ","        14"," ","   102"," ,0,0202, ","   140"," ,0,0211, "," 127.5"," ,0,0813, ","","","   1008.3"," ,0","      551"," ,0","",""
"USC00361198","1956","40.25","-76.91667","139.9","CAMP HILL, PA US","       124","0","        86","0","         7","0","       18","","        11","0","","","","","","","        31"," ","        18"," ","   229"," ,0,0320, ","   114"," ,0,0318, ","  60.5"," ,0,0906, ","","","   1053.9"," ,0","      665"," ,0","",""
"USC00361198","1957","40.25","-76.91667","139.9","CAMP HILL, PA US","       104","0","        72","0","         6","0","","","        15","0","","","","","","","        16"," ","        14"," ","","","   135"," ,0,1204, ","  53.8"," ,0,1220, ","","","    897.2"," ,0","      938"," ,0","",""
"USC00361198","1958","40.25","-76.91667","139.9","CAMP HILL, PA US","        89","0","        66","0","        11","0","","","        10","0","","","","","","","        20"," ","        20"," ","","","   318"," ,0,0320, ","  57.2"," ,0,0320, ","","","    975.6"," ,0","     1205"," ,0","",""
"USC00361198","1959","40.25","-76.91667","139.9","CAMP HILL, PA US","","","","","","","","","","","","","","","","","        22"," ","        18"," ","","","","","","","","","","","","","",""
"USC00361198","1960","40.25","-76.91667","139.9","CAMP HILL, PA US","        86","0","        61","0","         7","0","","","        13","0","","","","","","","        13"," ","        25"," ","","","   203"," ,0,1221,+","  46.7"," ,0,0509, ","","","    887.9"," ,0","     1168"," ,0","",""
"USC00361198","1961","40.25","-76.91667","139.9","CAMP HILL, PA US","        96","0","        57","0","         7","0","","","        16","0","","","","","","","        26"," ","        22"," ","","","   254"," ,0,1224, ","  43.9"," ,0,1106, ","","","   1008.4"," ,0","     1662"," ,0","",""
