"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000FSUM","2005","30.0175","-84.9842","18.3","SUMATRA FLORIDA, FL US","   1433.2","","    1433.2","U","         0","U","        21","U","         0","U","       289","U","       102","U","   -6.1","U,0124, ","   37.2","U,0819,+","-0.6","U,1123","-4.4","U,1222","-4.4","U,1222","","","-1.1","U,0302","-2.2","U,0125","-6.1","U,0124","","","","","","","     20.08","U","     26.75","U","     13.41","U"
"USR0000FSUM","2006","30.0175","-84.9842","18.3","SUMATRA FLORIDA, FL US","   1473.7","","    1473.7","U","         0","U","        23","U","         0","U","       316","U","       126","U","   -5.6","U,1209, ","   37.8","U,0803,+","-1.1","U,1204","-3.9","U,1205","-4.4","U,1208","","","-1.1","U,0327","-3.9","U,0214","","","","","     759.1","1","     759.1","U","     20.45","U","     28.00","U","     12.91","U"
"USR0000FSUM","2007","30.0175","-84.9842","18.3","SUMATRA FLORIDA, FL US","   1529.3","","    1529.3","U","         0","U","        24","U","         0","U","       306","U","       136","U","   -6.7","U,0217, ","   39.4","U,0611, ","0.0","U,1107","-2.2","U,1108","","","","","-1.7","U,0306","-4.4","U,0219","-4.4","U,0219","-6.7","U,0217","     757.6","6","     757.6","U","     20.49","U","     28.04","U","     12.93","U"
"USR0000FSUM","2008","30.0175","-84.9842","18.3","SUMATRA FLORIDA, FL US","   1373.0","","    1373.0","U","         0","U","        27","U","         0","U","       301","U","        87","U","   -6.1","U,0104,+","   36.7","U,0721, ","-1.1","U,1029","-2.2","U,1119","","","","","-1.7","U,0325","-2.2","U,0228","-6.1","U,0104","","","     752.9","9","     752.9","U","     19.80","U","     26.86","U","     12.73","U"
"USR0000FSUM","2010","30.0175","-84.9842","18.3","SUMATRA FLORIDA, FL US","   1566.5","","    1566.5","U","         0","U","        55","U","         0","U","       272","U","       128","U","   -8.3","U,0111, ","   39.4","U,0731, ","0.0","U,1106","-2.2","U,1202","-4.4","U,1208","-6.7","U,1228","-1.7","U,0307","-3.9","U,0226","-5.0","U,0113","-8.3","U,0111","    1023.0","0","    1023.0","U","     19.42","U","     26.68","U","     12.16","U"
"USR0000FSUM","2011","30.0175","-84.9842","18.3","SUMATRA FLORIDA, FL US","   1577.7","","    1577.7","U","         0","U","        24","U","         0","U","       300","U","       137","U","   -6.7","U,0114, ","   40.6","U,0614, ","-1.1","U,1111","-2.8","U,1112","","","","","-1.1","U,0214","-2.2","U,0213","-5.6","U,0123","-6.7","U,0114","     925.8","8","     925.8","U","     20.56","U","     28.28","U","     12.84","U"
"USR0000FSUM","2012","30.0175","-84.9842","18.3","SUMATRA FLORIDA, FL US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     546.5","5","     546.5","U","","","","","",""
"USR0000FSUM","2013","30.0175","-84.9842","18.3","SUMATRA FLORIDA, FL US","","","","","","","","","         0","U","       302","U","       103","U","","","   36.7","U,0806,+","","","","","","","","","","","","","","","","","","","","","","","     27.22","U","",""
"USR0000FSUM","2014","30.0175","-84.9842","18.3","SUMATRA FLORIDA, FL US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     776.5","5","     776.5","U","","","","","",""
"USR0000FSUM","2016","30.0175","-84.9842","18.3","SUMATRA FLORIDA, FL US","   1699.6","","    1699.6","U","         0","U","        19","U","         0","U","       314","U","       143","U","   -3.3","U,0124, ","   38.9","U,0626,+","0.0","U,1120","-2.8","U,1121","","","","","0.0","U,0228","-3.3","U,0124","","","","","","","","","     21.25","U","     28.47","U","     14.03","U"
