"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00012882","1999","25.91017","-80.28283","1.3","MIAMI OPA LOCKA AIRPORT, FL US","       3.5","W","","","","","       161","W","        98","W","        17","W","","","","","","","","","","","","","","","","","","","","","","","","","",""," 168.9"," ,W,1015, ","","","","","","","   1604.1"," ,W","","","","","","","","","       120","W","       150","W","      20.6","W","      25.0","W"
"USW00012882","2000","25.91017","-80.28283","1.3","MIAMI OPA LOCKA AIRPORT, FL US","       3.6","W","","","","","       139","W","        71","W","        12","W","","","","","","","","","","","","","","","","","","","","","","","","","","","  79.0"," ,W,1210, ","","","      59.0","0","      59.0","W","   1191.5"," ,W","","","","","","","","","       310","W","       260","W","      14.3","W","      19.2","W"
"USW00012882","2001","25.91017","-80.28283","1.3","MIAMI OPA LOCKA AIRPORT, FL US","       3.8","W","","","","","       144","W","        76","W","        23","W","","","","","","","","","","","","","","","","","","","","","","","","","","","  88.1"," ,W,0503, ","","","","","","","   1643.2"," ,W","","","","","","","","","       310","W","       320","W","      18.3","W","      25.0","W"
"USW00012882","2002","25.91017","-80.28283","1.3","MIAMI OPA LOCKA AIRPORT, FL US","       3.6","W","   2458.8","","    2458.8","W","       165","W","        87","W","        17","W","","","","","         0","W","         0","W","         0","W","       356","W","        72","W","","","","","","","    4.4","W,0104, ","","","","","  62.2"," ,W,1209, ","   34.4","W,0802,+","","","","","   1297.8"," ,W","","","     24.90","W","     29.13","W","     20.66","W","       160","W","       160","W","      21.9","W","      30.0","W"
"USW00012882","2003","25.91017","-80.28283","1.3","MIAMI OPA LOCKA AIRPORT, FL US","       3.6","W","   2472.2","","    2472.2","W","       152","W","        87","W","        26","W","","","","","         0","W","         0","W","         0","W","       343","W","       106","W","","","","","","","    1.7","W,0124, ","","","","","  88.1"," ,W,0828, ","   33.9","W,0824,+","     104.0","0","     104.0","W","   1813.0"," ,W","","","     24.94","W","     29.27","W","     20.60","W","       270","W","       360","W","      15.6","W","      22.8","W"
"USW00012882","2004","25.91017","-80.28283","1.3","MIAMI OPA LOCKA AIRPORT, FL US","       4.0","W","   2313.9","","    2313.9","W","       138","W","        80","W","        17","W","","","","","         0","W","         0","W","         0","W","       350","W","        89","W","","","","","","","    6.7","W,1215, ","","","","","  88.9"," ,W,0801, ","   35.0","W,0601, ","      74.6","6","      74.6","W","   1371.9"," ,W","","","     24.62","W","     28.93","W","     20.30","W","       270","W","       250","W","      21.0","W","      27.7","W"
"USW00012882","2005","25.91017","-80.28283","1.3","MIAMI OPA LOCKA AIRPORT, FL US","","","","","","","       138","B","        81","B","        19","B","","","","","","","","","","","","","","","","","","","","","","","","","","","  60.2"," ,B,0910, ","","","      80.8","8","      80.8","B","   1408.3"," ,B","","","","","","","","","","","","","","","",""
"USW00012882","2006","25.91017","-80.28283","1.3","MIAMI OPA LOCKA AIRPORT, FL US","       3.7","W","","","","","       121","W","        66","W","         9","W","","","","","","","","","","","","","","","       106"," ","         4"," ","        53"," ","","","","","","","  78.5"," ,W,0515, ","","","","","","","    976.0"," ,W","","","","","","","","","       340","W","        40","W","      17.4","W","      27.3","W"
"USW00012882","2007","25.91017","-80.28283","1.3","MIAMI OPA LOCKA AIRPORT, FL US","","","","","","","       169","W","        84","W","        14","W","","","","","","","","","","","","","","","       100"," ","         2"," ","        44"," ","","","","","","","  94.5"," ,W,0520, ","","","      51.9","9","      51.9","W","   1392.3"," ,W","","","","","","","","","       230","W","       240","W","      20.6","W","      24.6","W"
"USW00012882","2008","25.91017","-80.28283","1.3","MIAMI OPA LOCKA AIRPORT, FL US","       4.0","W","   2422.4","","    2422.4","W","       150","W","        81","W","        20","W","","","","","         0","W","         0","W","         0","W","       361","W","        83","W","       119"," ","         7"," ","        40"," ","    2.8","W,0103, ","","","",""," 104.6"," ,W,0322, ","   34.4","W,0815,+","","","","","   1528.5"," ,W","","","     24.83","W","     29.01","W","     20.65","W","       280","W","       140","W","      17.9","W","      20.6","W"
