"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CBEU","2004","33.9306","-116.95","793.7","BEAUMONT CALIFORNIA, CA US","    889.8","","     889.8","U","         0","U","        13","U","         0","U","       234","U","       109","U","   -1.1","U,1129, ","   42.8","U,0907, ","0.0","U,1121","","","0.0","U,0229","","","","","","","     17.24","U","     25.29","U","      9.20","U"
"USR0000CBEU","2005","33.9306","-116.95","793.7","BEAUMONT CALIFORNIA, CA US","    810.2","","     810.2","U","         0","U","         7","U","         0","U","       234","U","        98","U","   -1.1","U,0106, ","   42.2","U,0713, ","0.0","U,1127","","","0.0","U,0113","","","    1428.5","5","    1428.5","U","     17.23","U","     24.90","U","      9.55","U"
"USR0000CBEU","2006","33.9306","-116.95","793.7","BEAUMONT CALIFORNIA, CA US","   1078.9","","    1078.9","U","         0","U","        21","U","         0","U","       236","U","       110","U","   -2.8","U,0220,+","   45.0","U,0722, ","0.0","U,1129","","","0.0","U,0322","-2.8","U,0220","    1204.2","2","    1204.2","U","     17.91","U","     25.74","U","     10.08","U"
"USR0000CBEU","2007","33.9306","-116.95","793.7","BEAUMONT CALIFORNIA, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","    1072.7","7","    1072.7","U","","","","","",""
"USR0000CBEU","2008","33.9306","-116.95","793.7","BEAUMONT CALIFORNIA, CA US","   1193.6","","    1193.6","U","         0","U","        11","U","         0","U","       245","U","       123","U","   -0.6","U,1226,+","   42.2","U,0824,+","-0.6","U,1214","","","0.0","U,0316","","","","","","","     18.32","U","     25.99","U","     10.65","U"
"USR0000CBEU","2010","33.9306","-116.95","793.7","BEAUMONT CALIFORNIA, CA US","    796.6","","     796.6","U","         0","U","         5","U","         0","U","       201","U","        82","U","   -3.3","U,1231, ","   41.1","U,0824, ","0.0","U,1125","-2.8","U,1129","0.0","U,0124","","","    1335.8","8","    1335.8","U","     16.72","U","     23.27","U","     10.18","U"
"USR0000CBEU","2011","33.9306","-116.95","793.7","BEAUMONT CALIFORNIA, CA US","    868.2","","     868.2","U","         0","U","         8","U","         0","U","       213","U","        90","U","   -1.1","U,1204, ","   40.0","U,0828,+","-1.1","U,1204","","","-0.6","U,0409","","","    1379.2","2","    1379.2","U","     16.89","U","     23.62","U","     10.17","U"
"USR0000CBEU","2012","33.9306","-116.95","793.7","BEAUMONT CALIFORNIA, CA US","   1083.3","","    1083.3","U","         0","U","         5","U","         0","U","       238","U","       108","U","   -1.7","U,1231, ","   40.6","U,0812,+","0.0","U,1111","","","0.0","U,0227","","","    1199.1","1","    1199.1","U","     18.23","U","     25.31","U","     11.16","U"
"USR0000CBEU","2013","33.9306","-116.95","793.7","BEAUMONT CALIFORNIA, CA US","    952.7","","     952.7","U","         0","U","         7","U","         0","U","       241","U","        85","U","   -3.3","U,0112, ","   42.8","U,0630, ","","","","","0.0","U,0211","-2.8","U,0114","    1123.3","3","    1123.3","U","     17.83","U","     24.67","U","     11.00","U"
"USR0000CBEU","2014","33.9306","-116.95","793.7","BEAUMONT CALIFORNIA, CA US","   1058.4","","    1058.4","U","         0","U","         2","U","         0","U","       267","U","        95","U","   -1.7","U,1231, ","   41.1","U,0724, ","-1.7","U,1231","","","0.0","U,0202","","","     870.7","7","     870.7","U","     18.95","U","     25.89","U","     12.01","U"
"USR0000CBEU","2015","33.9306","-116.95","793.7","BEAUMONT CALIFORNIA, CA US","    987.4","","     987.4","U","         0","U","         9","U","         0","U","       259","U","        87","U","   -2.8","U,0101, ","   40.6","U,0816,+","-0.6","U,1214","-2.2","U,1215","-0.6","U,0103","-2.8","U,0101","     855.9","9","     855.9","U","     18.38","U","     25.16","U","     11.60","U"
"USR0000CBEU","2016","33.9306","-116.95","793.7","BEAUMONT CALIFORNIA, CA US","    866.1","","     866.1","U","         0","U","         4","U","         0","U","       239","U","        82","U","   -1.7","U,0202, ","   42.2","U,0620, ","0.0","U,1217","","","-1.7","U,0202","","","    1119.4","4","    1119.4","U","     17.81","U","     24.42","U","     11.21","U"
"USR0000CBEU","2017","33.9306","-116.95","793.7","BEAUMONT CALIFORNIA, CA US","    966.0","","     966.0","U","         0","U","         2","U","         0","U","       248","U","        90","U","    0.0","U,1221,+","   41.7","U,0707, ","0.0","U,1221","","","0.0","U,0224","","","    1155.9","9","    1155.9","U","     18.15","U","     24.97","U","     11.34","U"
"USR0000CBEU","2018","33.9306","-116.95","793.7","BEAUMONT CALIFORNIA, CA US","    912.1","","     912.1","U","         0","U","         9","U","         0","U","       246","U","        90","U","   -3.9","U,0220, ","   41.7","U,0706, ","-1.1","U,1229","","","0.0","U,0228","-3.9","U,0220","     930.0","0","     930.0","U","     17.88","U","     24.67","U","     11.09","U"
"USR0000CBEU","2019","33.9306","-116.95","793.7","BEAUMONT CALIFORNIA, CA US","    744.0","","     744.0","U","         0","U","        13","U","         0","U","       209","U","        67","U","   -1.7","U,0222,+","   38.3","U,0806, ","0.0","U,1227","","","-0.6","U,0223","","","    1368.3","3","    1368.3","U","     16.42","U","     22.96","U","      9.88","U"
"USR0000CBEU","2020","33.9306","-116.95","793.7","BEAUMONT CALIFORNIA, CA US","   1038.8","","    1038.8","U","         0","U","         2","U","         0","U","       235","U","       113","U","   -2.8","U,0205, ","   42.8","U,0906,+","","","","","-2.8","U,0205","-2.8","U,0205","    1262.6","6","    1262.6","U","     17.89","U","     25.14","U","     10.64","U"
"USR0000CBEU","2021","33.9306","-116.95","793.7","BEAUMONT CALIFORNIA, CA US","    945.2","","     945.2","U","         0","U","         6","U","         0","U","       240","U","        90","U","   -1.1","U,0126, ","   40.6","U,0627, ","0.0","U,1215","","","0.0","U,0316","","","    1131.1","1","    1131.1","U","     17.71","U","     24.63","U","     10.79","U"
"USR0000CBEU","2022","33.9306","-116.95","793.7","BEAUMONT CALIFORNIA, CA US","   1027.7","","    1027.7","U","         0","U","         4","U","         0","U","       224","U","        99","U","   -2.8","U,0224, ","   40.6","U,0906,+","0.0","U,1208","","","0.0","U,0225","-2.8","U,0224","    1049.2","2","    1049.2","U","     17.99","U","     24.88","U","     11.10","U"
"USR0000CBEU","2023","33.9306","-116.95","793.7","BEAUMONT CALIFORNIA, CA US","    752.1","","     752.1","U","         0","U","         7","U","         0","U","       198","U","        64","U","   -2.2","U,0215, ","   39.4","U,0725,+","","","","","-0.6","U,0302","-2.2","U,0215","    1602.7","7","    1602.7","U","     16.34","U","     22.71","U","      9.98","U"
"USR0000CBEU","2024","33.9306","-116.95","793.7","BEAUMONT CALIFORNIA, CA US","   1015.5","","    1015.5","U","         0","U","         1","U","         0","U","       224","U","        98","U","   -2.2","U,0108, ","   43.9","U,0705, ","","","","","-2.2","U,0108","-2.2","U,0108","    1273.2","2","    1273.2","U","     17.59","U","     24.41","U","     10.78","U"
