"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CBCN","1994","33.5417","-117.5917","213.4","BELL CANYON CALIFORNIA, CA US","    665.0","","     665.0","U","         0","U","         0","U","         0","U","       238","U","        32","U","    5.0","U,1126,+","   41.7","U,0626, ","     631.2","2","     631.2","U","     18.06","U","     23.84","U","     12.27","U"
"USR0000CBCN","1995","33.5417","-117.5917","213.4","BELL CANYON CALIFORNIA, CA US","    658.6","","     658.6","U","         0","U","         0","U","         0","U","       241","U","        46","U","    5.6","U,0324,+","   38.9","U,0828, ","     842.5","5","     842.5","U","     18.21","U","     24.02","U","     12.40","U"
"USR0000CBCN","1996","33.5417","-117.5917","213.4","BELL CANYON CALIFORNIA, CA US","    732.9","","     732.9","U","         0","U","         0","U","         0","U","       265","U","        49","U","    2.2","U,0227, ","   38.9","U,0701, ","     550.8","8","     550.8","U","     18.60","U","     24.60","U","     12.61","U"
"USR0000CBCN","1997","33.5417","-117.5917","213.4","BELL CANYON CALIFORNIA, CA US","","","","","","","","","","","","","","","","","","","     602.6","6","     602.6","U","","","","","",""
"USR0000CBCN","1998","33.5417","-117.5917","213.4","BELL CANYON CALIFORNIA, CA US","    587.9","","     587.9","U","         0","U","         0","U","         0","U","       230","U","        32","U","    4.4","U,1222,+","   42.2","U,0829, ","","","","","     17.62","U","     23.31","U","     11.93","U"
"USR0000CBCN","1999","33.5417","-117.5917","213.4","BELL CANYON CALIFORNIA, CA US","    618.8","","     618.8","U","         0","U","         0","U","         0","U","       262","U","        38","U","    2.8","U,0404,+","   39.4","U,0930,+","     847.7","7","     847.7","U","     17.90","U","     24.11","U","     11.69","U"
"USR0000CBCN","2000","33.5417","-117.5917","213.4","BELL CANYON CALIFORNIA, CA US","    636.4","","     636.4","U","         0","U","         0","U","         0","U","       267","U","        36","U","    4.4","U,0306, ","   38.9","U,0916, ","     530.7","7","     530.7","U","     18.39","U","     24.55","U","     12.23","U"
"USR0000CBCN","2001","33.5417","-117.5917","213.4","BELL CANYON CALIFORNIA, CA US","    593.7","","     593.7","U","         0","U","         0","U","         0","U","       237","U","        34","U","    2.8","U,0208, ","   39.4","U,0930, ","     817.2","2","     817.2","U","     17.61","U","     23.56","U","     11.66","U"
"USR0000CBCN","2002","33.5417","-117.5917","213.4","BELL CANYON CALIFORNIA, CA US","    547.5","","     547.5","U","         0","U","         0","U","         0","U","       254","U","        32","U","    2.8","U,0130,+","   41.7","U,0901, ","     733.0","0","     733.0","U","     17.88","U","     24.20","U","     11.56","U"
"USR0000CBCN","2003","33.5417","-117.5917","213.4","BELL CANYON CALIFORNIA, CA US","    728.5","","     728.5","U","         0","U","         0","U","         0","U","       246","U","        46","U","    2.8","U,1227, ","   38.9","U,0814, ","     721.8","8","     721.8","U","     18.27","U","     24.43","U","     12.12","U"
