"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1TNHB0004","2008","36.267746","-83.143011","370.3","BULLS GAP 3.6 W, TN US","       111","N","        79","N","        10","N","  50.8"," ,N,0111, ","    952.4"," ,N"
"US1TNHB0004","2009","36.267746","-83.143011","370.3","BULLS GAP 3.6 W, TN US","       132","N","        91","N","        11","N","  82.8"," ,N,0927, ","   1261.1"," ,N"
"US1TNHB0004","2010","36.267746","-83.143011","370.3","BULLS GAP 3.6 W, TN US","       110","N","        72","N","         7","N","  56.4"," ,N,0503, ","    869.2"," ,N"
"US1TNHB0004","2011","36.267746","-83.143011","370.3","BULLS GAP 3.6 W, TN US","       113","N","        85","N","        14","N","  73.4"," ,N,0620, ","   1344.0"," ,N"
"US1TNHB0004","2012","36.267746","-83.143011","370.3","BULLS GAP 3.6 W, TN US","       117","N","        83","N","         7","N","  71.4"," ,N,0918, ","   1155.4"," ,N"
"US1TNHB0004","2013","36.267746","-83.143011","370.3","BULLS GAP 3.6 W, TN US","       131","N","        93","N","        11","N","  64.0"," ,N,0115, ","   1323.1"," ,N"
"US1TNHB0004","2014","36.267746","-83.143011","370.3","BULLS GAP 3.6 W, TN US","       127","N","        84","N","         6","N","  50.3"," ,N,0715, ","    999.3"," ,N"
"US1TNHB0004","2015","36.267746","-83.143011","370.3","BULLS GAP 3.6 W, TN US","       141","N","        90","N","        21","N","  65.0"," ,N,0721, ","   1526.8"," ,N"
"US1TNHB0004","2016","36.267746","-83.143011","370.3","BULLS GAP 3.6 W, TN US","       106","N","        77","N","         6","N","  57.7"," ,N,1201, ","    970.3"," ,N"
"US1TNHB0004","2017","36.267746","-83.143011","370.3","BULLS GAP 3.6 W, TN US","       118","N","        84","N","         9","N","  52.3"," ,N,1024, ","    999.0"," ,N"
"US1TNHB0004","2018","36.267746","-83.143011","370.3","BULLS GAP 3.6 W, TN US","       170","N","       116","N","        14","N","  63.2"," ,N,0211, ","   1487.9"," ,N"
"US1TNHB0004","2022","36.267746","-83.143011","370.3","BULLS GAP 3.6 W, TN US","       125","N","        88","N","        12","N","  58.4"," ,N,0223, ","   1196.0"," ,N"
