"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0017C05S","1982","46.12","-117.85","1685.5","TOUCHET, WA US","","","","","","","       176","T","       176","T","        14","T","","","","","","","","","","","","","","","","","  76.2"," ,T,0104, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1613.4"," ,T","","","","","",""
"USS0017C05S","1985","46.12","-117.85","1685.5","TOUCHET, WA US","","","","","","","       109","T","       109","T","         6","T","","","","","","","","","","","","","","","","","  38.1"," ,T,0606, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1118.9"," ,T","","","","","",""
"USS0017C05S","1986","46.12","-117.85","1685.5","TOUCHET, WA US","","","","","","","       145","T","       145","T","         6","T","","","","","","","","","","","","","","","","","  96.5"," ,T,0217, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1372.9"," ,T","","","","","",""
"USS0017C05S","1987","46.12","-117.85","1685.5","TOUCHET, WA US","","","","","","","       111","T","       111","T","         7","T","","","","","","","","","","","","","","","","","  50.8"," ,T,1209, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1058.5"," ,T","","","","","",""
"USS0017C05S","1988","46.12","-117.85","1685.5","TOUCHET, WA US","","","","","","","       138","T","       138","T","        16","T","","","","","","","","","","","","","","","","","  61.0"," ,T,0108, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1497.2"," ,T","","","","","",""
"USS0017C05S","1989","46.12","-117.85","1685.5","TOUCHET, WA US","","","","","","","       145","T","       145","T","         8","T","","","","","","","","","","","","","","","","","  45.7"," ,T,0109, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1222.7"," ,T","","","","","",""
"USS0017C05S","1990","46.12","-117.85","1685.5","TOUCHET, WA US","","","","","","","       155","T","       155","T","        15","T","","","         6","T","       177","T","        77","T","        67","T","         1","T","  -30.8","T,1229, ","","","  53.3"," ,T,0427, ","   32.4","T,0805, ","-1.3","T,1002","-4.4","T,1006","-4.4","T,1006","-7.0","T,1106","-9.1","T,1126","-0.3","T,0613","-3.0","T,0514","-5.2","T,0507","-6.8","T,0428","-9.3","T,0308","","","","","   1560.5"," ,T","      4.80","T","      9.22","T","      0.39","T"
"USS0017C05S","1991","46.12","-117.85","1685.5","TOUCHET, WA US","","","     39.8","","      39.8","T","       140","T","       140","T","        11","T","","","         0","T","       183","T","        67","T","        54","T","         0","T","  -16.3","T,0128, ","","","  48.3"," ,T,1125, ","   28.2","T,0804, ","0.0","T,0921","-3.6","T,1017","-5.2","T,1026","-7.3","T,1027","-12.0","T,1029","-1.6","T,0617","-3.0","T,0604","-5.1","T,0509","-8.3","T,0410","-9.6","T,0327","","","","","   1339.2"," ,T","      5.00","T","      9.26","T","      0.74","T"
"USS0017C05S","1992","46.12","-117.85","1685.5","TOUCHET, WA US","","","","","","","       130","T","       130","T","        10","T","","","","","","","        57","T","        58","T","         1","T","","","","","  66.0"," ,T,0924, ","   32.8","T,0812, ","","","","","","","","","","","","","","","","","","","","","    3913.3","3","    3913.3","T","   1179.2"," ,T","","","     10.54","T","",""
"USS0017C05S","1993","46.12","-117.85","1685.5","TOUCHET, WA US","","","","","","","       134","T","       134","T","         7","T","","","","","","","","","","","","","","","","","  38.1"," ,T,1201, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1047.6"," ,T","","","","","",""
"USS0017C05S","1994","46.12","-117.85","1685.5","TOUCHET, WA US","","","     84.4","","      84.4","T","       128","T","       128","T","        16","T","","","         1","T","       173","T","        79","T","        68","T","         1","T","  -19.1","T,0208, ","","","  99.1"," ,T,0223, ","   32.2","T,0722, ","-1.8","T,1002","-2.8","T,1003","-4.5","T,1029","-8.1","T,1102","-9.9","T,1117","-0.3","T,0615","-3.6","T,0413","-4.7","T,0407","-6.7","T,0325","-9.8","T,0323","","","","","   1474.7"," ,T","      5.42","T","      9.82","T","      1.02","T"
"USS0017C05S","1995","46.12","-117.85","1685.5","TOUCHET, WA US","","","     18.0","","      18.0","T","       147","T","       147","T","        15","T","","","         1","T","       183","T","        48","T","        45","T","         0","T","  -20.2","T,0214, ","","","  71.1"," ,T,1111, ","   28.9","T,0902, ","-0.8","T,1001","-2.2","T,1018","-5.5","T,1029","-7.5","T,1030","-9.6","T,1031","-0.5","T,0619","-2.6","T,0607","-5.4","T,0419","-7.1","T,0416","-9.1","T,0325","    4865.6","6","    4865.6","T","   1659.9"," ,T","      5.01","T","      9.24","T","      0.78","T"
"USS0017C05S","1996","46.12","-117.85","1685.5","TOUCHET, WA US","","","     96.2","","      96.2","T","       151","T","       151","T","        19","T","","","         6","T","       197","T","        81","T","        56","T","         0","T","  -22.5","T,0130,+","","","  73.7"," ,T,1118,+","   31.5","T,0726, ","-0.6","T,0921","-2.3","T,0922","-5.8","T,1016","-7.3","T,1020","-8.9","T,1122","-0.5","T,0619","-2.4","T,0618","-5.6","T,0508","-6.7","T,0330","-13.4","T,0324","    5048.1","1","    5048.1","T","   2031.1"," ,T","      4.56","T","      8.82","T","      0.30","T"
"USS0017C05S","1997","46.12","-117.85","1685.5","TOUCHET, WA US","","","     31.3","","      31.3","T","       140","T","       140","T","        17","T","","","         1","T","       178","T","        60","T","        50","T","         0","T","  -18.9","T,0113, ","","","  68.6"," ,T,1030, ","   28.8","T,0806,+","-0.7","T,1005","-2.2","T,1007","-4.7","T,1012","-7.8","T,1202","-9.1","T,1218","-2.0","T,0507","-4.3","T,0502","-5.4","T,0501","-10.5","T,0411","-10.5","T,0411","    5012.1","1","    5012.1","T","   1558.5"," ,T","      4.92","T","      9.17","T","      0.67","T"
