"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1NMED0002","2006","32.453906","-104.237757","955.9","CARLSBAD 3.4 N, NM US","        50","N","        28","N","         6","N","         0","N","    13"," ,N,1130, ","  61.0"," ,N,0902, ","    441.8"," ,N","       13"," ,N"
"US1NMED0002","2007","32.453906","-104.237757","955.9","CARLSBAD 3.4 N, NM US","        65","N","        33","N","         4","N","         3","N","    64"," ,N,0123, ","  69.9"," ,N,0508, ","    454.6"," ,N","      199"," ,N"
"US1NMED0002","2008","32.453906","-104.237757","955.9","CARLSBAD 3.4 N, NM US","        34","N","        18","N","         1","N","         0","N","     5"," ,N,0303, ","  44.2"," ,N,0710, ","    215.2"," ,N","        5"," ,N"
"US1NMED0002","2009","32.453906","-104.237757","955.9","CARLSBAD 3.4 N, NM US","        41","N","        22","N","         2","N","","","","","  43.4"," ,N,0731, ","    289.1"," ,N","",""
"US1NMED0002","2010","32.453906","-104.237757","955.9","CARLSBAD 3.4 N, NM US","        48","N","        29","N","         2","N","","","","","  70.6"," ,N,0923, ","    395.7"," ,N","",""
"US1NMED0002","2011","32.453906","-104.237757","955.9","CARLSBAD 3.4 N, NM US","        24","N","        15","N","         1","N","","","","","  29.2"," ,N,0915, ","    139.7"," ,N","",""
"US1NMED0002","2012","32.453906","-104.237757","955.9","CARLSBAD 3.4 N, NM US","        36","N","        18","N","         4","N","","","","","  49.5"," ,N,0929, ","    327.5"," ,N","",""
"US1NMED0002","2013","32.453906","-104.237757","955.9","CARLSBAD 3.4 N, NM US","        37","N","        26","N","         3","N","","","","","  76.2"," ,N,0621, ","    439.3"," ,N","",""
"US1NMED0002","2016","32.453906","-104.237757","955.9","CARLSBAD 3.4 N, NM US","        43","N","        27","N","         2","N","","","","","  47.2"," ,N,0822, ","    260.5"," ,N","",""
"US1NMED0002","2017","32.453906","-104.237757","955.9","CARLSBAD 3.4 N, NM US","        47","N","        30","N","         1","N","","","","","  33.0"," ,N,0821, ","    329.0"," ,N","",""
"US1NMED0002","2018","32.453906","-104.237757","955.9","CARLSBAD 3.4 N, NM US","        45","N","        23","N","         3","N","","","","","  42.2"," ,N,1024, ","    261.7"," ,N","",""
"US1NMED0002","2019","32.453906","-104.237757","955.9","CARLSBAD 3.4 N, NM US","        41","N","        24","N","         1","N","","","","","  43.7"," ,N,1001, ","    278.3"," ,N","",""
"US1NMED0002","2020","32.453906","-104.237757","955.9","CARLSBAD 3.4 N, NM US","        26","N","         9","N","         1","N","","","","","  28.4"," ,N,0304, ","     93.2"," ,N","",""
"US1NMED0002","2021","32.453906","-104.237757","955.9","CARLSBAD 3.4 N, NM US","        43","N","        26","N","         6","N","","","","","  46.7"," ,N,0430, ","    392.7"," ,N","",""
"US1NMED0002","2022","32.453906","-104.237757","955.9","CARLSBAD 3.4 N, NM US","        33","N","        18","N","         2","N","","","","","  28.4"," ,N,0627, ","    207.1"," ,N","",""
"US1NMED0002","2024","32.453906","-104.237757","955.9","CARLSBAD 3.4 N, NM US","        25","N","        10","N","         0","N","","","","","  25.1"," ,N,0610, ","    131.4"," ,N","",""
