"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CBEV","1999","34.125","-118.4122","384.0","BEVERLY HILLS CALIFORNIA, CA US","    759.8","","     759.8","U","         0","U","         0","U","         0","U","       259","U","        51","U","    2.8","U,0409, ","   41.1","U,0929, ","     859.7","7","     859.7","U","     18.32","U","     24.75","U","     11.89","U"
"USR0000CBEV","2000","34.125","-118.4122","384.0","BEVERLY HILLS CALIFORNIA, CA US","    717.6","","     717.6","U","         0","U","         0","U","         0","U","       263","U","        53","U","    2.8","U,0306, ","   41.7","U,0912, ","     577.3","3","     577.3","U","     18.55","U","     24.54","U","     12.56","U"
"USR0000CBEV","2001","34.125","-118.4122","384.0","BEVERLY HILLS CALIFORNIA, CA US","","","","","","","","","","","","","","","","","","","     804.5","5","     804.5","U","","","","","",""
"USR0000CBEV","2004","34.125","-118.4122","384.0","BEVERLY HILLS CALIFORNIA, CA US","    919.0","","     919.0","U","         0","U","         0","U","         0","U","       292","U","        73","U","    3.9","U,0203, ","   42.2","U,0905, ","     557.7","7","     557.7","U","     19.19","U","     26.48","U","     11.91","U"
"USR0000CBEV","2005","34.125","-118.4122","384.0","BEVERLY HILLS CALIFORNIA, CA US","    811.5","","     811.5","U","         0","U","         0","U","         0","U","       298","U","        71","U","    3.9","U,0104, ","   41.1","U,0720, ","     656.8","8","     656.8","U","     18.99","U","     26.05","U","     11.93","U"
"USR0000CBEV","2006","34.125","-118.4122","384.0","BEVERLY HILLS CALIFORNIA, CA US","   1066.2","","    1066.2","U","         0","U","         0","U","         0","U","       296","U","        98","U","    1.1","U,0312, ","   45.0","U,0722, ","     644.5","5","     644.5","U","     19.53","U","     26.99","U","     12.08","U"
"USR0000CBEV","2009","34.125","-118.4122","384.0","BEVERLY HILLS CALIFORNIA, CA US","","","","","","","","","","","","","","","","","","","     519.2","2","     519.2"," ","","","","","",""
"USR0000CBEV","2011","34.125","-118.4122","384.0","BEVERLY HILLS CALIFORNIA, CA US","    956.0","","     956.0","U","         0","U","         0","U","         0","U","       289","U","        92","U","    2.2","U,0227,+","   43.9","U,0907, ","     721.8","8","     721.8","U","     19.15","U","     26.75","U","     11.56","U"
"USR0000CBEV","2012","34.125","-118.4122","384.0","BEVERLY HILLS CALIFORNIA, CA US","   1232.8","","    1232.8","U","         0","U","         0","U","         0","U","       304","U","       109","U","    2.2","U,0228, ","   44.4","U,1001,+","     496.8","8","     496.8","U","     20.32","U","     28.12","U","     12.51","U"
"USR0000CBEV","2013","34.125","-118.4122","384.0","BEVERLY HILLS CALIFORNIA, CA US","   1137.1","","    1137.1","U","         0","U","         0","U","         0","U","       317","U","       103","U","    0.6","U,0114, ","   42.2","U,0906,+","     509.2","2","     509.2","U","     20.23","U","     28.01","U","     12.45","U"
