"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000GCML","2005","31.2142","-84.2364","18.9","CAMILLA GEORGIA, GA US","   1317.1","","    1317.1","U","         0","U","        29","U","         0","U","       269","U","        73","U","   -8.3","U,0124, ","   36.7","U,0822, ","0.0","U,1118","-2.2","U,1221","-5.6","U,1222","","","0.0","U,0310","-2.2","U,0302","-8.3","U,0124","-8.3","U,0124","","","    1006.2","2","    1006.2","U","     19.09","U","     25.02","U","     13.16","U"
"USR0000GCML","2006","31.2142","-84.2364","18.9","CAMILLA GEORGIA, GA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     916.3","3","     916.3","U","","","","","",""
"USR0000GCML","2007","31.2142","-84.2364","18.9","CAMILLA GEORGIA, GA US","   1436.4","","    1436.4","U","         0","U","        26","U","         0","U","       287","U","        99","U","   -5.6","U,0217, ","   37.8","U,0811,+","-1.7","U,1108","-2.8","U,1218","","","","","0.0","U,0408","-3.3","U,0219","-5.6","U,0217","","","","","","","","","     19.73","U","     26.32","U","     13.14","U"
"USR0000GCML","2008","31.2142","-84.2364","18.9","CAMILLA GEORGIA, GA US","   1340.8","","    1340.8","U","         0","U","        34","U","         0","U","       270","U","        77","U","   -5.6","U,0103, ","   37.2","U,0608, ","0.0","U,1029","-3.3","U,1119","","","","","-1.1","U,0325","-2.8","U,0228","-4.4","U,0214","","","","","     927.2","2","     927.2","U","     19.16","U","     25.30","U","     13.02","U"
"USR0000GCML","2009","31.2142","-84.2364","18.9","CAMILLA GEORGIA, GA US","   1387.0","","    1387.0","U","         0","U","        30","U","         0","U","       272","U","        79","U","   -8.3","U,0205, ","   37.8","U,0622, ","-0.6","U,1127","-2.2","U,1229","","","","","-2.2","U,0304","-2.2","U,0304","-5.0","U,0206","-8.3","U,0205","","","     982.4","4","     982.4","U","     19.37","U","     25.37","U","     13.38","U"
"USR0000GCML","2010","31.2142","-84.2364","18.9","CAMILLA GEORGIA, GA US","   1510.7","","    1510.7","U","         0","U","        61","U","         0","U","       254","U","       111","U","   -8.9","U,0111, ","   38.9","U,0731,+","0.0","U,1106","-2.2","U,1206","-5.0","U,1208","-7.2","U,1214","-1.7","U,0307","-2.8","U,0306","-6.7","U,0113","-6.7","U,0113","-8.9","U,0111","    1248.8","8","    1248.8","U","     18.75","U","     25.50","U","     12.00","U"
"USR0000GCML","2012","31.2142","-84.2364","18.9","CAMILLA GEORGIA, GA US","   1391.2","","    1391.2","U","         0","U","        18","U","         0","U","       294","U","        72","U","   -7.2","U,0213, ","   37.2","U,0701, ","-3.9","U,1125","-3.9","U,1125","","","","","-7.2","U,0213","-7.2","U,0213","-7.2","U,0213","-7.2","U,0213","","","     720.5","5","     720.5","U","     20.08","U","     26.35","U","     13.81","U"
"USR0000GCML","2013","31.2142","-84.2364","18.9","CAMILLA GEORGIA, GA US","   1325.1","","    1325.1","U","         0","U","        19","U","         0","U","       271","U","        70","U","   -3.3","U,0202, ","   35.6","U,0613, ","-1.7","U,1113","-2.2","U,1114","","","","","-0.6","U,0327","-2.8","U,0217","","","","","","","     909.7","7","     909.7","U","     19.50","U","     25.25","U","     13.74","U"
"USR0000GCML","2014","31.2142","-84.2364","18.9","CAMILLA GEORGIA, GA US","   1316.6","","    1316.6","U","         0","U","        31","U","         1","U","       251","U","        89","U","   -7.8","U,0107, ","   36.7","U,0808,+","-1.1","U,1102","-3.3","U,1118","-5.6","U,1119","","","-2.2","U,0228","-2.2","U,0228","-7.2","U,0108","-7.2","U,0108","","","    1035.4","4","    1035.4","U","     18.93","U","     25.14","U","     12.73","U"
"USR0000GCML","2015","31.2142","-84.2364","18.9","CAMILLA GEORGIA, GA US","   1593.5","","    1593.5","U","         0","U","        19","U","         0","U","       285","U","        98","U","   -7.2","U,0108, ","   37.8","U,0729,+","0.0","U,1124","","","","","","","-5.0","U,0220","-5.0","U,0220","-5.0","U,0220","-7.2","U,0108","","","     992.7","7","     992.7","U","     20.66","U","     26.56","U","     14.75","U"
